Pfam_domain	Snp_count	Domain_length	locfdr
P53	1769	1770	0.000000000
Ras	1134	11453	0.000002899
Pkinase	848	65172	1.000000000
I-set	657	21670	0.343350700
Cadherin	612	23035	0.486495400
zf-H2C2_2	577	10536	0.021766960
fn3	484	15387	0.310411800
7tm_1	465	50731	1.000000000
Pkinase_Tyr	412	22471	0.959312800
Ank_2	392	11470	0.239243200
Ion_trans	392	23442	1.000000000
7tm_4	295	26594	1.000000000
WD40	258	3908	0.003708077
Spectrin	249	8781	0.413442300
Collagen	229	7255	0.307313700
Ig_2	197	8378	0.635851400
Iso_dh	183	1097	0.000000000
CUB	166	7124	0.647348300
PDZ	155	5226	0.366637400
PH	155	8239	0.926261100
Laminin_G_2	150	6117	0.582003900
Sushi	150	3854	0.148333600
Myosin_head	149	21444	1.000000000
EGF_CA	145	3078	0.058972810
C2	144	5452	0.493442500
V-set	141	7959	1.000000000
Trypsin	140	15053	1.000000000
LRR_8	129	4525	0.407940700
Hormone_recep	128	7801	1.000000000
p450	126	21123	1.000000000
VWA	126	8982	1.000000000
Furin-like	125	1130	0.000000132
ANF_receptor	119	10696	1.000000000
MFS_1	115	17813	1.000000000
RhoGEF	115	7044	1.000000000
Bromodomain	111	1885	0.012000080
RRM_1	110	4676	0.635289200
UCH	106	16257	1.000000000
BTB	98	5686	1.000000000
Filament	96	15767	1.000000000
PI3Ka	91	1359	0.003253104
Mito_carr	90	4697	0.902458500
TSP_1	89	2456	0.194271000
KRAB	88	1899	0.064056530
CH	87	3827	0.678362400
G-alpha	86	4194	0.813818300
MIP	85	1769	0.052904820
Y_phosphatase	84	6327	1.000000000
Myosin_tail_1	83	11098	1.000000000
AMP-binding	82	12760	1.000000000
Sema	82	9409	1.000000000
SH2	82	3027	0.463419800
Homeobox	81	2982	0.460186100
EF-hand_7	79	3395	0.649084600
EGF	79	1393	0.016479370
Nebulin	78	636	0.000000004
Kinesin	77	10040	1.000000000
MH2	77	960	0.000259978
Sugar_tr	77	10461	1.000000000
DEAD	76	6366	1.000000000
E1-E2_ATPase	75	6636	1.000000000
RhoGAP	75	4887	1.000000000
7tm_2	72	7809	1.000000000
ABC_membrane	72	8792	1.000000000
RabGAP-TBC	72	5423	1.000000000
PI3_PI4_kinase	68	3429	0.857279600
Lectin_C	67	4239	1.000000000
LIM	67	2214	0.345335300
SNF2_N	67	7285	1.000000000
Sulfotransfer_1	67	6113	1.000000000
COesterase	65	6534	1.000000000
Kelch_1	64	1995	0.292767600
SNF	64	8178	1.000000000
Helicase_C	63	2309	0.454843900
Reprolysin	62	4699	1.000000000
SPRY	62	4292	1.000000000
ABC2_membrane_3	61	6914	1.000000000
Neur_chan_LBD	61	5792	1.000000000
SET	60	3751	1.000000000
Laminin_EGF	59	2111	0.428315200
Serpin	59	8520	1.000000000
Actin	58	9816	1.000000000
Filamin	58	2500	0.652860400
Recep_L_domain	56	865	0.004739806
ABC_tran	55	4435	1.000000000
An_peroxidase	55	5708	1.000000000
Ets	55	1043	0.028805590
Dynein_heavy	54	10055	1.000000000
Integrin_alpha2	54	6717	1.000000000
zf-C2H2	54	893	0.009425173
Peptidase_C12	53	419	0.000000001
Sulfatase	50	5047	1.000000000
Neur_chan_memb	49	4674	1.000000000
Peptidase_M14	48	5583	1.000000000
SAM_1	48	1353	0.210720000
Cullin	47	4725	1.000000000
Laminin_N	47	2161	0.736377000
RCC1	47	725	0.004660439
SRCR	46	2360	0.880074800
Exo_endo_phos	45	5416	1.000000000
RasGEF	45	3078	1.000000000
Plexin_cytopl	44	5089	1.000000000
DHC_N2	43	4729	1.000000000
PDEase_I	43	3474	1.000000000
Plectin	43	479	0.000031069
7tm_3	42	3664	1.000000000
BAH	42	972	0.092690260
Hydrolase	42	5590	1.000000000
Med23	42	1313	0.295364500
Aldedh	41	5795	1.000000000
Glyco_transf_29	41	3344	1.000000000
HECT	41	5388	1.000000000
Lig_chan	41	3599	1.000000000
MH1	41	400	0.000001301
Pep_M12B_propep	41	2479	1.000000000
PID	41	2766	1.000000000
F5_F8_type_C	40	2048	0.877395900
HCO3_cotransp	40	4347	1.000000000
Ldl_recept_a	40	1231	0.281184000
MHC_I	40	1421	0.420995400
VWD	40	3293	1.000000000
AF-4	39	5107	1.000000000
C2-set_2	39	1567	0.562697700
DHC_N1	39	3738	1.000000000
HLH	39	1531	0.535705000
RasGAP	39	1088	0.202725800
Adaptin_N	38	5718	1.000000000
Cadherin_C	38	2448	1.000000000
MAGE	38	3783	1.000000000
PX	38	2053	0.947185400
SCAN	38	1582	0.608662000
TTL	38	3583	1.000000000
Anoctamin	37	5328	1.000000000
BACK	37	2196	1.000000000
Na_H_Exchanger	37	4727	1.000000000
NACHT	37	2350	1.000000000
PLAT	37	1679	0.718778200
TAS2R	37	4183	1.000000000
TPR_11	37	1558	0.623225100
Aa_trans	36	5541	1.000000000
Glyco_hydro_31	36	3802	1.000000000
OATP	36	5559	1.000000000
Peptidase_C14	36	2399	1.000000000
Vinculin	36	3856	1.000000000
AA_permease	35	3366	1.000000000
C1_1	35	704	0.042306900
FAT	35	2029	1.000000000
FH2	35	4138	1.000000000
HSP70	35	6342	1.000000000
SMC_N	35	7529	1.000000000
Cpn60_TCP1	34	5380	1.000000000
DUF3497	34	1848	0.954897700
FERM_M	34	2281	1.000000000
Hist_deacetyl	34	2325	1.000000000
Metallophos	34	3781	1.000000000
RGS	34	2148	1.000000000
SH3_1	34	810	0.107090400
TIG	34	1512	0.691931700
Aminotran_1_2	33	3703	1.000000000
Ank	33	452	0.001106386
CNH	33	3479	1.000000000
DOCK-C2	33	1535	0.751812900
Histone	33	1752	0.924705800
Patched	33	3474	1.000000000
zf-DHHC	33	2045	1.000000000
Band_3_cyto	32	2433	1.000000000
Cyclin_N	32	1352	0.627513800
Gla	32	189	0.000000000
Peptidase_M1	32	3475	1.000000000
PHD	32	870	0.184355900
C1-set	31	1411	0.722847000
DSPc	31	1667	0.941184100
Glypican	31	3347	1.000000000
Ig_3	31	1358	0.673180000
Keratin_B2_2	31	951	0.278301500
RRM_6	31	1036	0.357299900
SH3_2	31	751	0.115833400
UQ_con	31	2071	1.000000000
zf-C4	31	1086	0.406606400
adh_short	30	2969	1.000000000
CRAL_TRIO_2	30	1166	0.524129500
dsrm	30	999	0.353509500
FAM47	30	1650	0.969972800
UPF0640	30	55	0.000000000
Arf	29	2108	1.000000000
BTB_2	29	1314	0.716761800
HAD	29	5456	1.000000000
HMG_box	29	1125	0.521925000
IRK	29	4003	1.000000000
MIR	29	1397	0.797860800
FCH	28	841	0.258997100
MAM	28	2253	1.000000000
Peptidase_M2	28	1911	1.000000000
TUDOR	28	1774	1.000000000
cNMP_binding	27	1156	0.644373100
T-box	27	2546	1.000000000
TGFb_propeptide	27	4562	1.000000000
wnt	27	4159	1.000000000
AA_permease_2	26	4403	1.000000000
AAA_6	26	2435	1.000000000
DAGAT	26	1644	1.000000000
DNA_pol_B	26	1824	1.000000000
Pkinase_C	26	462	0.017652670
WTX	26	1118	0.649828400
AAA	25	2008	1.000000000
AAA_7	25	2979	1.000000000
ADAM_spacer1	25	1460	1.000000000
Aldo_ket_red	25	2599	1.000000000
Amino_oxidase	25	2935	1.000000000
Cadherin_2	25	1352	0.948457800
Carb_anhydrase	25	2923	1.000000000
Carn_acyltransf	25	4107	1.000000000
Ephrin_lbd	25	1696	1.000000000
KH_1	25	813	0.330518200
Proteasome	25	1585	1.000000000
Pyr_redox_2	25	1529	1.000000000
SEA	25	1279	0.876366800
TRAM_LAG1_CLN8	25	2320	1.000000000
ASC	24	3743	1.000000000
DAGK_cat	24	906	0.489976600
E1_dh	24	1958	1.000000000
GAF	24	1349	0.997423900
Lipocalin	24	1485	1.000000000
PMP22_Claudin	24	3195	1.000000000
PP2C	24	2672	1.000000000
Ribophorin_II	24	627	0.159057500
SH3_9	24	881	0.456722000
SSF	24	3786	1.000000000
DUF3518	23	514	0.078504160
EF-hand_8	23	759	0.343891400
Glycos_transf_2	23	1979	1.000000000
KCNQ_channel	23	955	0.605269700
Myotub-related	23	3345	1.000000000
RRM_5	23	755	0.338763500
UDPGT	23	4331	1.000000000
zf-B_box	23	526	0.087897350
AAA_12	22	1608	1.000000000
CHGN	22	3352	1.000000000
Crystall	22	1004	0.726383400
FGF	22	1508	1.000000000
Fibrinogen_C	22	2499	1.000000000
Glyco_hydro_1	22	3208	1.000000000
Glyco_transf_10	22	2550	1.000000000
Guanylate_cyc	22	2101	1.000000000
LRR_4	22	703	0.314975400
MCM	22	1823	1.000000000
Na_trans_assoc	22	1635	1.000000000
Peptidase_C2	22	2587	1.000000000
Protocadherin	22	1109	0.856822300
Tetraspannin	22	3469	1.000000000
Thioredoxin	22	1384	1.000000000
VWA_3	22	1243	1.000000000
AAA_8	21	2362	1.000000000
ADH_zinc_N	21	818	0.526690100
Calx-beta	21	1365	1.000000000
CPSase_L_D2	21	1242	1.000000000
DENN	21	1477	1.000000000
Fork_head	21	1343	1.000000000
Ion_trans_2	21	879	0.615586400
Kazal_2	21	550	0.160660900
Ldl_recept_b	21	748	0.423707700
MYT1	21	878	0.614129300
OLF	21	2296	1.000000000
Peptidase_S9	21	1517	1.000000000
PSI	21	574	0.187712500
TGF_beta	21	1569	1.000000000
VWC	21	678	0.324127900
Zip	21	2859	1.000000000
DNA_methylase	20	987	0.829160900
DNA_pol_B_exo1	20	1477	1.000000000
ERG4_ERG24	20	923	0.741334800
PI3K_C2	20	857	0.645412400
PLDc_3	20	361	0.020027190
Septin	20	1975	1.000000000
SGT1	20	585	0.238979300
Sulfotransfer_2	20	1899	1.000000000
Tubulin	20	2266	1.000000000
