Pfam_domain	Snp_count	Domain_length	locfdr
P53	2706	2707	0.000000000
Cadherin	1997	43775	0.380581700
Pkinase	1574	84077	1.000000000
I-set	1452	33253	0.418154500
zf-H2C2_2	1389	20380	0.077269270
fn3	1113	27227	0.473536400
7tm_1	1112	71158	1.000000000
Ion_trans	911	32593	0.776483500
7tm_4	767	41695	1.000000000
Pkinase_Tyr	750	29140	0.914278200
Hormone_recep	669	8298	0.020045010
Ank_2	607	20782	0.740973900
Ig_2	561	15199	0.556469200
Collagen	558	14580	0.527448000
Spectrin	536	14591	0.560246100
Sushi	417	9425	0.406941400
Trypsin	405	22111	1.000000000
WD40	394	8680	0.384921800
Myosin_head	390	27069	1.000000000
Ras	382	14975	0.932106000
V-set	381	15116	0.955942500
ANF_receptor	368	13517	0.800198300
p450	339	27193	1.000000000
PDZ	331	9943	0.637556500
Filament	329	20928	1.000000000
CUB	323	9963	0.658384600
C2	316	10112	0.687335800
RRM_1	315	8266	0.530910200
PH	304	11420	0.846223400
Y_phosphatase	289	10739	0.823999300
LRR_8	270	7650	0.591934800
UCH	268	23172	1.000000000
MATH	257	1538	0.000000001
EGF_CA	249	4831	0.275813000
MFS_1	246	24117	1.000000000
RhoGEF	234	9667	1.000000000
Homeobox	230	6180	0.549888800
Laminin_G_2	218	8830	0.996760700
AMP-binding	216	14259	1.000000000
TSP_1	212	4284	0.310215000
VWA	207	11562	1.000000000
Fork_head	196	2916	0.084546080
E1-E2_ATPase	194	9423	1.000000000
Kinesin	192	14205	1.000000000
Sema	187	12622	1.000000000
ABC_membrane	184	9912	1.000000000
Serpin	183	13177	1.000000000
SH2	180	4963	0.570340100
Sugar_tr	173	13722	1.000000000
DEAD	172	9657	1.000000000
SPRY	171	7440	1.000000000
KRAB	169	3323	0.287185100
7tm_2	168	10903	1.000000000
Keratin_B2_2	168	2216	0.035209910
Neur_chan_memb	166	8159	1.000000000
RhoGAP	166	6461	0.917796300
BTB	162	8032	1.000000000
Lectin_C	156	6824	1.000000000
Mito_carr	155	6544	1.000000000
EF-hand_7	154	4952	0.691123000
LIM	154	3792	0.478957600
Sulfotransfer_1	152	8073	1.000000000
ABC_tran	151	7828	1.000000000
Myosin_tail_1	147	11447	1.000000000
SNF	145	10156	1.000000000
Aldedh	143	8603	1.000000000
Reprolysin	142	6320	1.000000000
CH	137	5613	1.000000000
Laminin_EGF	136	3538	0.523898300
Dynein_heavy	135	12342	1.000000000
Kelch_1	135	3512	0.523901800
UDPGT	135	7004	1.000000000
zf-C2H2	134	1744	0.031293970
DSPc	133	3567	0.548402500
Vinculin	127	3848	0.644167400
Integrin_alpha2	126	7889	1.000000000
Adaptin_N	125	5681	1.000000000
SNF2_N	124	9149	1.000000000
Actin	122	10626	1.000000000
EGF	121	2001	0.149249100
G-alpha	119	5598	1.000000000
Neur_chan_LBD	118	7121	1.000000000
7tm_3	114	4090	0.778710600
RabGAP-TBC	113	6399	1.000000000
OLF	110	3394	0.658625300
Peptidase_M14	110	7271	1.000000000
Histone	109	3034	0.577818400
ABC2_membrane_3	107	8543	1.000000000
Glyco_hydro_31	106	4868	1.000000000
SET	106	4128	0.918911800
COesterase	105	7668	1.000000000
RasGEF	105	4927	1.000000000
SRCR	104	4647	1.000000000
Lig_chan	101	4681	1.000000000
adh_short	100	4935	1.000000000
AAA	98	4732	1.000000000
Helicase_C	98	3773	0.895942500
Filamin	97	3092	0.684309800
PI3_PI4_kinase	97	3815	0.938615700
Hydrolase	96	6908	1.000000000
OATP	95	8011	1.000000000
An_peroxidase	94	5708	1.000000000
Oxysterol_BP	94	4676	1.000000000
Sulfatase	93	6128	1.000000000
Ig_3	92	2779	0.641819800
KH_1	92	2534	0.569518800
Ldl_recept_a	92	2402	0.526818300
MHC_I	91	2593	0.596419600
wnt	90	6114	1.000000000
RGS	89	3212	0.783415400
PDEase_I	88	4323	1.000000000
TPR_11	88	3462	0.939172800
Bromodomain	87	2148	0.481178600
Guanylate_kin	87	3349	0.895642400
PI3Ka	86	1545	0.212156500
Integrin_beta	85	3816	1.000000000
Septin	84	3961	1.000000000
HCO3_cotransp	83	5106	1.000000000
HECT	83	7021	1.000000000
PID	83	3757	1.000000000
TAS2R	83	6287	1.000000000
C1-set	82	2096	0.509576600
Ion_trans_2	82	2210	0.552306400
IRK	82	4360	1.000000000
PX	82	3999	1.000000000
HSP70	81	8947	1.000000000
MAM	81	3503	1.000000000
Tetraspannin	81	6712	1.000000000
TGFb_propeptide	81	5187	1.000000000
AAA_7	80	3965	1.000000000
Anoctamin	80	5972	1.000000000
Exo_endo_phos	80	5843	1.000000000
PMP22_Claudin	80	4992	1.000000000
Aa_trans	79	6609	1.000000000
F5_F8_type_C	79	2316	0.618713000
Pep_M12B_propep	79	3552	1.000000000
ASC	78	4671	1.000000000
cNMP_binding	78	2046	0.530587200
MIR	77	1709	0.391341600
zf-C4	77	1848	0.457620100
HLH	76	1740	0.417903300
PTEN_C2	76	829	0.004391206
Cullin	75	5412	1.000000000
DHC_N2	75	5405	1.000000000
MIP	75	3128	1.000000000
Nebulin	75	807	0.003524573
Guanylate_cyc	74	3949	1.000000000
His_Phos_2	73	2357	0.694305000
SSF	73	5465	1.000000000
Cadherin_2	72	2028	0.587256700
Cadherin_C	72	2661	0.812887200
DAO	72	3131	1.000000000
Ets	72	1250	0.185047200
Fibrinogen_C	72	4321	1.000000000
SEA	72	2632	0.793572300
HAD	71	6941	1.000000000
PLAT	71	2362	0.717362700
AF-4	70	5158	1.000000000
Cpn60_TCP1	70	7064	1.000000000
Lipocalin	70	2748	0.934929000
SMC_N	70	7981	1.000000000
BTB_2	69	2845	1.000000000
MAGE	69	4146	1.000000000
ADAM_spacer1	68	2365	0.753744900
Carn_acyltransf	68	4107	1.000000000
DHC_N1	68	4743	1.000000000
DPPIV_N	68	3059	1.000000000
SH3_2	68	1372	0.308911700
C2-set_2	67	1843	0.568488000
FERM_M	67	3664	1.000000000
Glyco_transf_29	67	5341	1.000000000
Pro-rich	67	1543	0.422890700
SAM_1	67	2394	0.775460100
DNA_pol_B	66	1824	0.572168000
Plexin_cytopl	66	5133	1.000000000
Tubulin	66	3808	1.000000000
Laminin_N	65	3565	1.000000000
Aminotran_1_2	64	5956	1.000000000
NACHT	64	3020	1.000000000
RB_A	63	653	0.002101891
RCC1	63	1127	0.208694400
AA_permease	62	3850	1.000000000
FAM47	62	1945	0.671764000
Gasdermin	62	2485	0.976071500
AAA_6	61	3197	1.000000000
Ank	61	1094	0.210765300
Furin-like	61	1128	0.235489400
Patched	61	4327	1.000000000
TTL	61	4016	1.000000000
UQ_con	61	3473	1.000000000
Ferric_reduct	60	1791	0.632688400
PP2C	60	4393	1.000000000
Thioredoxin	60	2458	1.000000000
TIG	60	2326	0.909804000
MT	59	4375	1.000000000
RRM_6	59	1815	0.656254300
Zona_pellucida	58	3127	1.000000000
Carb_anhydrase	57	4203	1.000000000
Clathrin	57	1997	0.759664200
Hist_deacetyl	57	3974	1.000000000
Plectin	57	598	0.002565068
GVQW	56	841	0.089437300
HMG_box	56	1974	0.764589800
PHD	56	1255	0.399667700
VWD	56	3731	1.000000000
zf-HC5HC2H	56	646	0.009003661
CD36	55	1795	0.702628700
Cyclin_N	55	2597	1.000000000
DnaJ	55	1549	0.587171100
FGF	55	2527	1.000000000
Metallophos	55	3960	1.000000000
SCAN	55	2740	1.000000000
Amino_oxidase	54	3328	1.000000000
BAR	54	3734	1.000000000
Frizzled	54	3601	1.000000000
Myotub-related	54	4208	1.000000000
Ricin_B_lectin	54	2336	1.000000000
Xlink	54	1815	0.725842800
RasGEF_N	53	1405	0.539093000
Aldo_ket_red	52	4628	1.000000000
DUF3451	52	1332	0.511314100
MYT1	52	935	0.212864700
TIR	52	2421	1.000000000
dsrm	51	1118	0.380628800
Glyco_hydro_1	51	3219	1.000000000
JmjC	51	1473	0.607057600
SH3_1	51	1056	0.331541300
CNH	50	3723	1.000000000
DAGK_cat	50	1430	0.599334600
FAT	50	2029	1.000000000
Peptidase_M1	50	4018	1.000000000
Peptidase_M13_N	50	2350	1.000000000
SH3_9	50	1525	0.649412500
Voltage_CLC	50	3847	1.000000000
zf-B_box	50	675	0.041927230
APOBEC_N	49	1795	0.795235200
Arf	49	3693	1.000000000
BACK	49	2681	1.000000000
FHA	49	1465	0.633926200
G_glu_transpept	49	2788	1.000000000
Peptidase_C14	49	3033	1.000000000
DEP	48	812	0.166061800
DUF3497	48	2083	1.000000000
Glycos_transf_2	48	3299	1.000000000
Na_trans_assoc	48	2004	1.000000000
Sulfate_transp	48	2532	1.000000000
T-box	48	2400	1.000000000
C1_1	47	1105	0.440287800
CRAL_TRIO_2	47	1636	0.754421800
Ephrin_lbd	47	1867	0.958380700
LCE	47	1479	0.674198600
Ldl_recept_b	47	1254	0.544259000
Na_sulph_symp	47	2900	1.000000000
RA	47	1838	0.927256500
Sec1	47	4630	1.000000000
Arm	46	1022	0.392218300
Asp	46	3207	1.000000000
FH2	46	3762	1.000000000
Kazal_2	46	855	0.239598600
MH2	46	1489	0.696272000
PSI	46	1138	0.482830600
Band_3_cyto	45	2236	1.000000000
C1q	45	2882	1.000000000
Gla	45	287	0.000000011
Reticulon	45	1507	0.722839700
TGF_beta	45	2316	1.000000000
zf-C3HC4	45	833	0.236325700
Cation_efflux	44	3334	1.000000000
GDA1_CD39	44	3438	1.000000000
GTP_EFTU	44	3576	1.000000000
NMDAR2_C	44	1271	0.607166500
Peptidase_S8	44	3415	1.000000000
Pyr_redox_2	44	3131	1.000000000
AA_permease_2	43	3686	1.000000000
Acyl-CoA_dh_1	43	1586	0.808736000
Iso_dh	43	1886	1.000000000
Phosphodiest	43	2595	1.000000000
Proteasome_A_N	43	69	0.000000000
Amidohydro_1	42	2498	1.000000000
Hexokinase_1	42	1435	0.739289400
PYRIN	42	1156	0.568956100
RHD	42	1503	0.776674100
Zip	42	4144	1.000000000
AAA_8	41	2902	1.000000000
AAA_9	41	2615	1.000000000
Adap_comp_sub	41	2897	1.000000000
CD20	41	2184	1.000000000
Cupin_8	41	2048	1.000000000
FXa_inhibition	41	799	0.279592400
Gal-bind_lectin	41	1483	0.785192800
GOLGA2L5	41	2420	1.000000000
Hexokinase_2	41	2041	1.000000000
Laminin_G_3	41	2009	1.000000000
NUDIX	41	1736	1.000000000
Pentaxin	41	2133	1.000000000
PI-PLC-Y	41	822	0.303589800
Pyridoxal_deC	41	2405	1.000000000
Annexin	40	1257	0.673119900
CABIT	40	1127	0.587491500
Dpy19	40	2655	1.000000000
Gelsolin	40	1579	0.945938300
ig	40	1146	0.600710500
MACPF	40	2122	1.000000000
Na_H_Exchanger	40	4438	1.000000000
Peptidase_M16_C	40	1321	0.711750000
Cation_ATPase_C	39	2391	1.000000000
CCDC14	39	1001	0.512946600
CHGN	39	3684	1.000000000
CLN5	39	662	0.168568300
COLFI	39	2052	1.000000000
DENN	39	2669	1.000000000
DNA_pol_B_exo1	39	1477	0.862711600
EF-hand_8	39	895	0.419901200
FERM_C	39	1040	0.543833400
Na_Ca_ex	39	1690	1.000000000
Tektin	39	2334	1.000000000
Alk_phosphatase	38	1748	1.000000000
Glyco_hydro_18	38	2216	1.000000000
Glyco_hydro_47	38	3068	1.000000000
HOOK	38	3183	1.000000000
KCNQ_channel	38	1144	0.639242800
Keratin_B2	38	768	0.310344800
Kringle	38	1932	1.000000000
Lipoxygenase	38	2546	1.000000000
LUC7	38	1064	0.582536700
MARVEL	38	2418	1.000000000
MBOAT	38	3467	1.000000000
Med23	38	1313	0.748439700
PIP5K	38	1941	1.000000000
PI-PLC-X	38	1909	1.000000000
PWWP	38	1423	0.839788400
SDF	38	3511	1.000000000
ubiquitin	38	1372	0.783753900
A_deamin	37	2400	1.000000000
DUF1669	37	2291	1.000000000
DUF829	37	156	0.000000000
