Pfam_domain	Snp_count	Domain_length	locfdr
I-set	12500	58315	0.135350200
Cadherin	12403	63809	0.219843000
Pkinase_Tyr	12208	33574	0.001313359
fn3	10829	52471	0.164501200
7tm_4	8750	50799	0.367196400
Pkinase	8268	108395	1.000000000
7tm_1	8143	81500	1.000000000
Ion_trans	7455	36914	0.183089500
zf-H2C2_2	7390	73318	1.000000000
Collagen	5616	33458	0.404385900
Ig_2	4520	26433	0.377329900
Ank_2	4405	40911	1.000000000
P53	4277	4278	0.000000000
Sushi	4048	18059	0.106112900
Ras	3953	21626	0.288329400
CUB	3418	16643	0.168474800
p450	3291	29234	0.994900900
Myosin_head	2992	27123	1.000000000
V-set	2889	23687	0.920374300
ANF_receptor	2875	14915	0.228564200
Spectrin	2705	22675	0.949842300
Trypsin	2532	27402	1.000000000
C2	2439	17682	0.726620100
Y_phosphatase	2408	11839	0.176477300
LRR_8	2021	19948	1.000000000
Laminin_G_2	1957	11735	0.414168900
PDZ	1951	18317	1.000000000
VWA	1890	15739	0.941259200
MFS_1	1863	26521	1.000000000
Filament	1790	22788	1.000000000
PH	1766	19873	1.000000000
WD40	1747	22031	1.000000000
Serpin	1665	15684	1.000000000
AMP-binding	1555	17293	1.000000000
UDPGT	1547	7892	0.211017000
EGF_CA	1477	11870	0.891137100
TSP_1	1379	9502	0.640151500
Myosin_tail_1	1375	12306	0.997207800
RRM_1	1369	16502	1.000000000
7tm_2	1367	12674	1.000000000
Sugar_tr	1363	17518	1.000000000
Hormone_recep	1358	10824	0.879002500
UCH	1349	25081	1.000000000
Dynein_heavy	1333	12342	1.000000000
Neur_chan_LBD	1282	10517	0.921181900
Neur_chan_memb	1236	10029	0.905196200
ABC_membrane	1229	12880	1.000000000
SRCR	1228	6659	0.278072600
EGF	1204	6560	0.283570200
Lectin_C	1188	11858	1.000000000
RhoGEF	1174	13573	1.000000000
Kinesin	1154	15887	1.000000000
ABC_tran	1141	12440	1.000000000
SNF	1068	12042	1.000000000
Reprolysin	1061	7523	0.689029800
Sema	1061	12622	1.000000000
Glyco_hydro_31	1055	4401	0.071657180
Sulfotransfer_1	1051	8900	0.962992300
CH	1010	10323	1.000000000
KRAB	979	10709	1.000000000
OATP	978	8073	0.929771700
SPRY	977	11315	1.000000000
Homeobox	966	11124	1.000000000
Ig_3	958	5169	0.272287300
E1-E2_ATPase	922	10626	1.000000000
Lig_chan	909	4681	0.220852800
7tm_3	898	5283	0.385625500
Anoctamin	883	5972	0.608595900
NACHT	866	4347	0.195730300
DHC_N2	859	6258	0.734843300
Mito_carr	859	13643	1.000000000
RhoGAP	857	10267	1.000000000
EF-hand_7	851	9890	1.000000000
Integrin_alpha2	838	8330	1.000000000
Nebulin	830	3344	0.057450750
Actin	820	12407	1.000000000
MAGE	820	6073	0.762381700
COesterase	818	8206	1.000000000
Vinculin	814	4645	0.343050200
