Pfam_domain	Snp_count	Domain_length	locfdr
Pkinase_Tyr	116	4269	1.000000000
Ras	103	817	1.000000000
P53	53	176	0.000000000
Pkinase	20	2726	1.000000000
fn3	16	438	1.000000000
HLH	12	106	1.000000000
Cadherin	9	467	1.000000000
PI3Ka	8	369	1.000000000
MH2	7	572	1.000000000
V-set	7	338	1.000000000
WD40	7	71	1.000000000
zf-H2C2_2	7	154	1.000000000
SWIB	6	44	1.000000000
PI3_PI4_kinase	5	471	1.000000000
CUB	4	223	1.000000000
GF_recep_IV	4	133	1.000000000
Methyltransf_16	4	84	1.000000000
Patched	4	216	1.000000000
PHD	4	104	1.000000000
PI3K_C2	4	267	1.000000000
PX	4	219	1.000000000
Ribonuclease_3	4	123	1.000000000
STAG	4	120	1.000000000
Ank_2	3	96	1.000000000
Bromodomain	3	83	1.000000000
F_actin_bind	3	109	1.000000000
G-alpha	3	753	1.000000000
Glyco_hydro_1	3	601	1.000000000
Hormone_recep	3	209	1.000000000
KH_1	3	65	1.000000000
Kinesin	3	335	1.000000000
Myosin_head	3	1361	0.780499300
Pro-rich	3	503	1.000000000
Rad51	3	237	1.000000000
RGS	3	115	1.000000000
RunxI	3	95	1.000000000
Sdh_cyt	3	112	1.000000000
Y_phosphatase	3	233	1.000000000
zf-TAZ	3	162	1.000000000
AAA_23	2	293	1.000000000
ABC_membrane	2	314	1.000000000
Abhydrolase_1	2	278	1.000000000
Androgen_recep	2	444	1.000000000
CaMBD	2	77	1.000000000
Collagen	2	48	1.000000000
CRAL_TRIO_2	2	146	1.000000000
CTNNB1_binding	2	213	1.000000000
DEAD	2	334	1.000000000
DEAD_2	2	168	1.000000000
DNA_pol_B	2	541	0.976412800
DUF1227	2	146	1.000000000
DUF3384	2	422	1.000000000
Ephrin_lbd	2	174	1.000000000
Ets	2	84	1.000000000
FERM_C	2	90	1.000000000
FHA	2	71	1.000000000
Helicase_C	2	169	1.000000000
HHH_7	2	104	1.000000000
Histone	2	49	1.000000000
HNF-1B_C	2	260	1.000000000
HSA	2	73	1.000000000
IL10	2	170	1.000000000
I-set	2	98	1.000000000
KAP_NTPase	2	514	1.000000000
Med25	2	155	1.000000000
Mre11_DNA_bind	2	168	1.000000000
Neural_ProG_Cyt	2	54	1.000000000
Nrap	2	497	1.000000000
NTR	2	100	1.000000000
OST-HTH	2	72	1.000000000
Peptidase_S28	2	423	1.000000000
PH	2	206	1.000000000
Pilt	2	291	1.000000000
RhoGEF	2	189	1.000000000
SASRP1	2	71	1.000000000
SCAN	2	191	1.000000000
SH3_2	2	56	1.000000000
Snf7	2	164	1.000000000
SRCR	2	98	1.000000000
Sulfotransfer_1	2	251	1.000000000
TFIIA	2	470	1.000000000
TMEM237	2	250	1.000000000
tRNA_int_endo	2	93	1.000000000
TSP_1	2	58	1.000000000
Tuberin	2	355	1.000000000
ubiquitin	2	57	1.000000000
zf-C3HC4_3	2	50	1.000000000
zf-C4	2	70	1.000000000
14-3-3	1	238	1.000000000
7tm_1	1	248	1.000000000
7tm_4	1	145	1.000000000
Aa_trans	1	413	0.798135500
Activin_recp	1	45	1.000000000
Acylphosphatase	1	80	1.000000000
AIG1	1	217	1.000000000
Alk_phosphatase	1	436	0.788200600
ANF_receptor	1	384	0.811913800
APP_Cu_bd	1	58	1.000000000
Atg8	1	106	1.000000000
ATP_bind_1	1	248	1.000000000
Autophagy_N	1	187	1.000000000
B12D	1	72	1.000000000
BRO1	1	407	0.800864800
Bud13	1	144	1.000000000
CABS1	1	395	0.806509000
CAF1A	1	79	1.000000000
Calc_CGRP_IAPP	1	125	1.000000000
Calsequestrin	1	386	0.810913900
CDI	1	51	1.000000000
COPR5	1	152	1.000000000
Cpn60_TCP1	1	379	0.814448000
CRM1_C	1	319	0.846592400
CTD_bind	1	64	1.000000000
Cullin	1	633	0.718276600
Cyclin_C	1	123	1.000000000
Cyclin_N	1	128	1.000000000
Daxx	1	740	0.690218800
DHC_N2	1	409	0.799948300
DSPc	1	127	1.000000000
DUF1394	1	305	0.863294200
DUF1981	1	87	1.000000000
DUF4208	1	101	1.000000000
E1-E2_ATPase	1	249	1.000000000
eIF-3_zeta	1	521	0.754436700
EphA2_TM	1	99	1.000000000
Fibrinogen_C	1	210	1.000000000
Filament	1	312	0.850836500
FNIP_C	1	188	1.000000000
Fork_head	1	96	1.000000000
FtsJ	1	186	1.000000000
GTPase_binding	1	42	1.000000000
HATPase_c_3	1	123	1.000000000
HCaRG	1	174	1.000000000
HEAT	1	31	1.000000000
HMG_box	1	69	1.000000000
HRDC	1	68	1.000000000
Ig_3	1	84	1.000000000
KAT11	1	307	0.857328400
Katanin_con80	1	161	1.000000000
KIX	1	81	1.000000000
Kringle	1	78	1.000000000
Laminin_N	1	247	1.000000000
LBP_BPI_CETP_C	1	238	1.000000000
Linker_histone	1	74	1.000000000
LMBR1	1	278	0.950038300
Lon_C	1	214	1.000000000
Lung_7-TM_R	1	286	0.923058200
MAM	1	162	1.000000000
MATH	1	151	1.000000000
Med10	1	120	1.000000000
MM_CoA_mutase	1	516	0.756194900
Mtc	1	308	0.854367400
Myc_N	1	109	1.000000000
NAD_binding_5	1	433	0.789451400
Nbs1_C	1	61	1.000000000
Nic96	1	603	0.727083000
NODP	1	65	1.000000000
NRN1	1	83	1.000000000
Otopetrin	1	121	1.000000000
Oxysterol_BP	1	175	1.000000000
P2X_receptor	1	370	0.819138500
PA	1	94	1.000000000
PAN_1	1	91	1.000000000
PAPS_reduct	1	83	1.000000000
PAX	1	125	1.000000000
PBC	1	198	1.000000000
PDZ	1	85	1.000000000
Peptidase_M13	1	192	1.000000000
PMAIP1	1	54	1.000000000
Proteasome	1	186	1.000000000
Prothymosin	1	109	1.000000000
PTEN_C2	1	162	1.000000000
RabGAP-TBC	1	230	1.000000000
RBD	1	73	1.000000000
REJ	1	470	0.773665200
RIIa	1	38	1.000000000
RRM_6	1	77	1.000000000
RrnaAD	1	284	0.929696100
RUN	1	141	1.000000000
Saccharop_dh	1	437	0.787786500
Sec23_BS	1	104	1.000000000
Sema	1	449	0.782520100
SH2	1	76	1.000000000
SNARE	1	61	1.000000000
Spc97_Spc98	1	1371	0.615716500
SPRY	1	122	1.000000000
Tet_JBP	1	473	0.772448600
TNF	1	124	1.000000000
tRNA_m1G_MT	1	167	1.000000000
TTL	1	297	0.887757600
Tyrosinase	1	234	1.000000000
V_ATPase_I	1	328	0.841336700
WGR	1	85	1.000000000
Xpo1	1	146	1.000000000
zf-A20	1	26	1.000000000
zf-C2H2	1	23	1.000000000
zf-C2H2_2	1	71	1.000000000
zf-CXXC	1	42	1.000000000
