Pfam_domain	Snp_count	Domain_length	locfdr
P53	4069	4070	0.000000000
Ras	1030	9325	0.000000003
Fork_head	787	1425	0.000000000
Pkinase	760	62060	1.000000000
Pkinase_Tyr	725	25492	0.276306200
I-set	648	22530	0.265887600
Cadherin	644	25082	0.385390100
7tm_1	576	57421	1.000000000
zf-H2C2_2	569	10135	0.004476765
fn3	548	16981	0.171077200
7tm_4	394	30953	1.000000000
Ion_trans	344	20863	0.959290100
Ank_2	340	13692	0.422687800
Ig_2	251	10527	0.477002100
Collagen	207	8693	0.478742000
Spectrin	204	8959	0.537534300
Myosin_head	198	23263	1.000000000
PI3Ka	197	1335	0.000000000
PH	192	8319	0.519942900
CUB	186	7942	0.500735300
WD40	185	4078	0.027325630
Sushi	174	5384	0.170005000
Trypsin	162	15003	1.000000000
LRR_8	150	5263	0.274338300
p450	141	23392	1.000000000
UCH	132	20184	1.000000000
Filament	131	18121	1.000000000
V-set	127	9031	1.000000000
C2	123	6318	0.764187500
MFS_1	121	17112	1.000000000
Laminin_G_2	114	6330	0.881697600
TSP_1	114	2554	0.030756400
PDZ	112	4322	0.374974200
KRAB	109	1819	0.002206046
ANF_receptor	107	11259	1.000000000
RRM_1	104	4259	0.445101500
Y_phosphatase	96	7125	1.000000000
EGF_CA	94	2199	0.039829650
VWA	94	7753	1.000000000
Hormone_recep	89	6724	1.000000000
Serpin	88	10649	1.000000000
Myosin_tail_1	85	11247	1.000000000
SNF2_N	85	6974	1.000000000
RhoGEF	84	5871	1.000000000
Ribonuclease_3	84	489	0.000000000
G-alpha	83	4556	0.864637300
ABC_tran	81	5344	1.000000000
DSPc	81	2211	0.095766480
Sugar_tr	80	10641	1.000000000
Kinesin	75	9527	1.000000000
7tm_2	71	7945	1.000000000
PDEase_I	71	3978	0.894980300
CH	70	3467	0.709684400
BTB	68	5039	1.000000000
AMP-binding	67	13235	1.000000000
Neur_chan_LBD	66	5504	1.000000000
RB_A	66	459	0.000000000
COesterase	65	6459	1.000000000
Actin	64	10291	1.000000000
Sema	64	9374	1.000000000
SH2	64	3335	0.786216800
SNF	64	9756	1.000000000
Homeobox	63	2963	0.634952400
Patched	62	4136	1.000000000
LIM	61	1545	0.064089750
Integrin_alpha2	60	7606	1.000000000
Dynein_heavy	59	9255	1.000000000
Bromodomain	57	1586	0.105106200
EF-hand_7	57	2857	0.726642100
HCO3_cotransp	57	5579	1.000000000
HECT	57	7333	1.000000000
UDPGT	57	6846	1.000000000
OATP	56	6130	1.000000000
PNP_UDP_1	56	989	0.004051562
Histone	55	2324	0.486911700
7tm_3	54	4458	1.000000000
ABC_membrane	54	7043	1.000000000
Neur_chan_memb	54	5178	1.000000000
Peptidase_M14	54	5979	1.000000000
SRCR	54	2950	0.857510700
Lectin_C	53	3786	1.000000000
RGS	52	2176	0.474014000
Aa_trans	51	6042	1.000000000
An_peroxidase	51	4651	1.000000000
Kelch_1	51	1748	0.252533100
Mito_carr	51	3027	0.944325400
RabGAP-TBC	51	4455	1.000000000
Reticulon	51	1336	0.078421180
SPRY	51	3927	1.000000000
E1-E2_ATPase	50	5600	1.000000000
MAGE	50	3970	1.000000000
RasGAP	49	1631	0.224915000
