Pfam_domain	Snp_count	Domain_length	locfdr
P53	8370	8371	0.000000000
Cadherin	3034	52236	0.441669200
I-set	2491	43601	0.458357000
zf-H2C2_2	2480	31939	0.147010000
fn3	2054	35782	0.453578900
Pkinase	1986	90328	1.000000000
7tm_1	1612	76056	1.000000000
7tm_4	1416	46024	1.000000000
Ank_2	1317	23640	0.483558400
Ion_trans	1243	33501	0.771751000
Spectrin	925	17119	0.512396900
Pkinase_Tyr	753	29481	1.000000000
Collagen	735	17574	0.706038300
Ig_2	712	17923	0.735388400
Sushi	691	9878	0.245547600
WD40	690	8449	0.107378600
CUB	683	13642	0.579487200
Myosin_head	640	26228	1.000000000
Laminin_G_2	560	9888	0.467142200
V-set	531	16629	0.994213800
ANF_receptor	517	14440	0.789785500
PDZ	497	10762	0.641425300
LRR_8	458	10780	0.696394200
C2	457	11334	0.727202800
EGF_CA	446	6165	0.211407700
p450	442	27141	1.000000000
Y_phosphatase	437	10743	0.722332800
PH	420	12161	0.821741700
MFS_1	392	24414	1.000000000
VWA	390	13885	1.000000000
KRAB	373	4914	0.165933400
Ras	371	15261	1.000000000
Trypsin	365	22330	1.000000000
RRM_1	348	8538	0.721225100
Filament	338	21508	1.000000000
Hormone_recep	324	8560	0.761529900
RhoGEF	319	9683	0.926380500
TSP_1	318	5909	0.516126800
UCH	314	23574	1.000000000
AMP-binding	311	16334	1.000000000
Myosin_tail_1	305	12306	1.000000000
Homeobox	299	6863	0.680829900
CH	283	6583	0.689120500
PI3Ka	277	1711	0.000002106
Sema	271	11382	1.000000000
EGF	267	3115	0.075519930
Kinesin	265	14822	1.000000000
ABC_membrane	261	10981	1.000000000
7tm_2	260	11527	1.000000000
Vinculin	255	3744	0.273044800
Dynein_heavy	244	11654	1.000000000
BTB	233	8853	1.000000000
Neur_chan_LBD	233	10234	1.000000000
Neur_chan_memb	229	8976	1.000000000
Reprolysin	228	7086	0.977767400
SPRY	224	7886	1.000000000
Lectin_C	221	7806	1.000000000
COesterase	219	8206	1.000000000
Peptidase_M14	218	7398	1.000000000
LIM	217	4620	0.629324500
Nebulin	215	1416	0.000009013
ABC_tran	214	9804	1.000000000
Serpin	211	13589	1.000000000
HCO3_cotransp	210	5106	0.716209900
OATP	206	7572	1.000000000
Laminin_EGF	204	4230	0.609889300
Mito_carr	198	7830	1.000000000
Glyco_hydro_31	197	4868	0.725189200
Histone	193	3988	0.607084300
E1-E2_ATPase	176	9064	1.000000000
Sugar_tr	176	13457	1.000000000
Actin	172	10357	1.000000000
DEAD	165	9239	1.000000000
RhoGAP	165	7619	1.000000000
Guanylate_kin	164	3682	0.666922700
SNF	163	11302	1.000000000
SNF2_N	163	9268	1.000000000
AF-4	162	5259	1.000000000
Pep_M12B_propep	160	4409	0.783004800
Ldl_recept_a	159	3087	0.556063300
Ephrin_lbd	158	2397	0.307918100
Integrin_alpha2	158	8227	1.000000000
Sulfotransfer_1	158	8055	1.000000000
SET	156	5067	1.000000000
zf-C2H2	156	2008	0.146577700
ABC2_membrane_3	155	8311	1.000000000
Anoctamin	155	6656	1.000000000
An_peroxidase	154	5195	1.000000000
Cadherin_2	154	3098	0.585336200
Kelch_1	152	3804	0.732186900
Band_3_cyto	151	2708	0.482665300
MAM	150	4376	0.838579400
HAD	148	7361	1.000000000
HECT	148	7581	1.000000000
Lig_chan	146	4406	0.913611300
DSPc	145	4103	0.796291700
UDPGT	145	7002	1.000000000
Ank	144	1459	0.020444860
EF-hand_7	144	3914	0.776055000
DHC_N2	143	6094	1.000000000
PMP22_Claudin	142	5505	1.000000000
Cadherin_C	140	2963	0.625057200
Filamin	138	4459	1.000000000
MAGE	138	5209	1.000000000
RabGAP-TBC	138	7483	1.000000000
7tm_3	137	4955	1.000000000
RasGEF	135	5039	1.000000000
adh_short	133	6865	1.000000000
FH2	132	4513	1.000000000
TIG	131	3546	0.773958000
AAA	130	4307	1.000000000
Aldedh	129	7846	1.000000000
Bromodomain	129	2927	0.673617400
FAM47	129	2084	0.375140900
Hydrolase	129	6908	1.000000000
Keratin_B2_2	129	1832	0.238725500
Helicase_C	128	4208	1.000000000
IRK	128	4789	1.000000000
SH2	127	4203	1.000000000
KH_1	126	2620	0.612149600
cNMP_binding	125	3507	0.792032000
Ion_trans_2	125	2487	0.576290100
OLF	125	2884	0.684044900
PDEase_I	123	4548	1.000000000
SRCR	123	4028	1.000000000
MT	122	4425	1.000000000
Ig_3	119	2947	0.726396900
Plectin	118	779	0.000009861
FERM_M	117	4328	1.000000000
Guanylate_cyc	114	4695	1.000000000
FGF	113	2558	0.672157000
SEA	111	3446	0.975403600
AA_permease	108	4529	1.000000000
DPPIV_N	108	2692	0.729975800
Na_H_Exchanger	108	5337	1.000000000
TGFb_propeptide	108	5455	1.000000000
F5_F8_type_C	105	3231	0.956184100
Aminotran_1_2	104	5560	1.000000000
Glyco_transf_29	104	5102	1.000000000
Patched	104	4290	1.000000000
PP2C	104	4145	1.000000000
BTB_2	103	3252	1.000000000
Fork_head	103	2839	0.783130300
TPR_11	103	3120	0.921828700
Cullin	102	6054	1.000000000
PHD	102	1881	0.509091600
SMC_N	102	8071	1.000000000
Laminin_N	101	3565	1.000000000
VWD	101	4025	1.000000000
Tetraspannin	100	6629	1.000000000
Ldl_recept_b	99	2084	0.621172200
NACHT	99	3655	1.000000000
TAS2R	98	6583	1.000000000
KAT11	97	614	0.000003526
Peptidase_C2	96	3772	1.000000000
DUF3451	95	1332	0.225388100
MIR	95	1228	0.150017000
RGS	95	3635	1.000000000
SH3_1	95	1480	0.336330800
Adaptin_N	93	6924	1.000000000
DHC_N1	93	4964	1.000000000
G-alpha	93	5292	1.000000000
SCAN	93	3421	1.000000000
wnt	93	5949	1.000000000
MIP	92	2790	0.924347700
zf-C4	91	1913	0.620193100
AAA_6	90	3197	1.000000000
C2-set_2	90	2295	0.742442900
Glycos_transf_2	90	4006	1.000000000
Plexin_cytopl	90	5089	1.000000000
AA_permease_2	88	5141	1.000000000
AAA_8	88	3736	1.000000000
Calx-beta	88	2919	1.000000000
Laminin_G_3	88	2203	0.732357600
Sulfatase	88	5742	1.000000000
Aldo_ket_red	87	4238	1.000000000
ASC	87	4826	1.000000000
Fibrinogen_C	87	4747	1.000000000
Glyco_hydro_1	87	4122	1.000000000
PLAT	87	2834	1.000000000
DOCK-C2	86	1920	0.662995700
HLH	86	2294	0.766461100
VWC	86	1777	0.607067900
Cpn60_TCP1	85	6704	1.000000000
