Pfam_domain	Snp_count	Domain_length	locfdr
Pkinase_Tyr	15739	27338	0.000000000
Pkinase	2303	77610	1.000000000
Ras	1713	12794	0.040129990
zf-H2C2_2	1628	12750	0.061580770
I-set	1479	23312	0.857574800
Cadherin	1457	25586	0.911236300
P53	1356	1357	0.000000000
fn3	1312	22331	0.898790200
Ank_2	1287	22464	0.909202800
7tm_1	1221	55022	1.000000000
Trypsin	878	21321	1.000000000
Collagen	796	13893	0.909183000
Spectrin	762	13102	0.903614500
7tm_4	753	28912	1.000000000
Ion_trans	743	26442	1.000000000
Ig_2	741	12399	0.890630000
MIP	729	2763	0.000001279
V-set	648	12348	0.934688700
MHC_I	609	3020	0.000194936
Filament	590	21162	1.000000000
CCDC144C	573	2881	0.000248663
PH	568	11514	0.960556200
RRM_1	529	8311	0.855449900
p450	523	25570	1.000000000
PDZ	512	8904	0.907969800
WD40	511	6690	0.687978700
UCH	500	24947	1.000000000
Myosin_head	488	24644	1.000000000
Sushi	464	6793	0.802687700
GOLGA2L5	436	6715	0.842391200
Keratin_B2_2	410	2803	0.016260440
MFS_1	391	20545	1.000000000
Myosin_tail_1	389	12306	1.000000000
TAS2R	381	4491	0.548998000
KRAB	379	2939	0.056385680
LRR_8	370	6324	0.900780300
EGF_CA	361	3373	0.216268300
Hormone_recep	349	7493	1.000000000
ANF_receptor	345	11588	1.000000000
RhoGEF	345	9714	1.000000000
C2	340	7058	0.979091300
Actin	339	9421	1.000000000
RhoGAP	330	6465	0.940569400
CUB	328	7504	1.000000000
Kinesin	321	13104	1.000000000
AMP-binding	317	14631	1.000000000
TSP_1	305	4639	0.834107900
Sema	301	11441	1.000000000
ABC_tran	295	7806	1.000000000
Laminin_G_2	285	7579	1.000000000
7tm_2	281	10632	1.000000000
Laminin_EGF	276	3876	0.764775000
C1-set	274	2456	0.168754900
LIM	264	3527	0.712290600
Mito_carr	262	6863	1.000000000
SPRY	261	5473	0.986891800
EGF	245	2199	0.170212000
Y_phosphatase	241	8383	1.000000000
Sugar_tr	240	13196	1.000000000
SRCR	239	4585	0.936123100
CH	238	5202	1.000000000
Homeobox	236	3691	0.852489900
DEAD	233	8972	1.000000000
Integrin_alpha2	221	8227	1.000000000
VWA	221	8229	1.000000000
TPR_11	215	2758	0.663270000
SEA	214	2888	0.723561200
Pro-rich	212	1371	0.008427088
MAM	208	3746	0.919632000
COesterase	207	6849	1.000000000
Dynein_heavy	204	10211	1.000000000
Reprolysin	203	5052	1.000000000
FERM_M	200	4189	0.985995600
BTB	196	5113	1.000000000
Lectin_C	190	5606	1.000000000
ABC_membrane	189	9243	1.000000000
NPIP	189	2749	0.797174700
E1-E2_ATPase	188	8126	1.000000000
EF-hand_7	185	3967	1.000000000
HECT	184	7735	1.000000000
HAD	182	6909	1.000000000
adh_short	180	6317	1.000000000
ABC2_membrane_3	178	7931	1.000000000
RabGAP-TBC	176	7439	1.000000000
G_glu_transpept	170	2522	0.813836000
Neur_chan_memb	170	5982	1.000000000
Filamin	169	2932	0.907165400
RasGEF	169	4493	1.000000000
Cullin	168	5853	1.000000000
SNF	168	10355	1.000000000
Serpin	165	10860	1.000000000
Ank	163	1262	0.055550410
Nebulin	163	863	0.000543594
DSPc	162	3313	0.967454900
Kelch_1	162	2251	0.753857200
wnt	161	5525	1.000000000
Anoctamin	159	5972	1.000000000
Aldedh	155	7887	1.000000000
PI3Ka	153	1528	0.304920200
G-alpha	152	4898	1.000000000
SNF2_N	151	7988	1.000000000
Sulfotransfer_1	147	8105	1.000000000
zf-DHHC	147	3385	1.000000000
SH2	146	2896	0.943429700
AAA	145	4029	1.000000000
OATP	145	7876	1.000000000
Neur_chan_LBD	144	7174	1.000000000
Pep_M12B_propep	144	3320	1.000000000
Exo_endo_phos	143	6733	1.000000000
Fork_head	143	2528	0.913466400
Adaptin_N	140	6698	1.000000000
HLH	140	2136	0.836168100
PMP22_Claudin	138	3664	1.000000000
TIG	137	2400	0.910424800
F5_F8_type_C	136	2254	0.886023000
Plectin	136	431	0.000000014
Septin	136	2984	1.000000000
PX	135	3425	1.000000000
Tubulin	133	4429	1.000000000
Hydrolase	132	5640	1.000000000
KH_1	132	1979	0.822650900
