Pfam_domain	Snp_count	Domain_length	locfdr
Cadherin	3973	56932	0.245597100
P53	3921	3922	0.000000000
I-set	3467	51943	0.292392700
Pkinase	2970	102149	1.000000000
zf-H2C2_2	2942	44830	0.310886500
fn3	2597	43617	0.416363200
7tm_1	2478	79434	1.000000000
Ion_trans	1692	36183	0.644373500
7tm_4	1444	47924	1.000000000
Pkinase_Tyr	1359	31943	0.715607000
Ank_2	1171	31206	0.840238000
Spectrin	1135	20252	0.479726900
Ras	925	19310	0.625035500
WD40	879	14931	0.428363700
Ig_2	864	20069	0.707104200
Sushi	847	13087	0.325938100
Collagen	839	19883	0.721467900
Myosin_head	754	26230	1.000000000
PDZ	751	15155	0.595961600
ANF_receptor	715	14062	0.573179300
CUB	707	14652	0.619143800
C2	637	12852	0.595790000
V-set	628	18947	1.000000000
PH	622	16444	0.819700800
Laminin_G_2	614	10900	0.474464700
Trypsin	590	25637	1.000000000
LRR_8	571	13834	0.736986700
p450	565	28483	1.000000000
Y_phosphatase	552	11277	0.606742100
RRM_1	530	13246	0.758004000
MFS_1	514	25160	1.000000000
Filament	508	21570	1.000000000
VWA	505	14277	0.989863900
UCH	504	24978	1.000000000
Hormone_recep	481	10843	0.685377900
EGF_CA	448	8019	0.482976700
TSP_1	445	7827	0.464868800
BTB	433	12874	1.000000000
Homeobox	429	9219	0.648267400
RhoGEF	425	12001	0.986892700
AMP-binding	397	15881	1.000000000
Sema	388	12740	1.000000000
CH	367	8115	0.670821600
Kinesin	365	15901	1.000000000
E1-E2_ATPase	343	10416	1.000000000
SPRY	332	10491	1.000000000
COesterase	331	8206	0.752576900
Myosin_tail_1	330	12046	1.000000000
ABC_membrane	329	11708	1.000000000
KRAB	325	6759	0.621980700
Mito_carr	315	10500	1.000000000
Sugar_tr	310	15553	1.000000000
ABC_tran	309	11038	1.000000000
7tm_2	302	11657	1.000000000
Sulfotransfer_1	301	8555	1.000000000
LIM	297	6117	0.613829100
Lectin_C	295	9819	1.000000000
Neur_chan_memb	295	8876	1.000000000
Serpin	294	14651	1.000000000
EF-hand_7	283	7635	0.871744600
RhoGAP	282	8791	1.000000000
Laminin_EGF	281	5913	0.631457700
Vinculin	273	4590	0.417509000
SNF2_N	267	10176	1.000000000
Actin	264	11623	1.000000000
DEAD	263	13236	1.000000000
Guanylate_kin	262	4390	0.413848500
Neur_chan_LBD	260	10137	1.000000000
SNF	259	11554	1.000000000
