Pfam_domain	Snp_count	Domain_length	locfdr
VHL	3006	3007	0.000000000
P53	1411	1412	0.000000000
Pkinase	1241	80106	1.000000000
zf-H2C2_2	1137	18796	0.008246219
Cadherin	922	30988	0.403690200
fn3	860	23170	0.188228600
I-set	853	26057	0.299051800
Bromodomain	813	2345	0.000000000
7tm_1	706	64843	1.000000000
Pkinase_Tyr	586	27912	0.889115800
Ion_trans	484	26997	1.000000000
7tm_4	463	34588	1.000000000
Ank_2	426	16954	0.627917100
Spectrin	411	12107	0.263809700
BAH	378	1303	0.000000000
Ig_2	315	11892	0.552095200
WD40	304	7010	0.092191280
Collagen	281	10252	0.507563400
Sushi	269	7246	0.188076700
Ras	268	14834	1.000000000
Myosin_head	265	25242	1.000000000
Trypsin	249	19609	1.000000000
V-set	241	11898	0.928107500
PDZ	224	7720	0.432090900
CUB	222	9564	0.743385300
AMP-binding	221	15033	1.000000000
SET	220	4415	0.040444960
MFS_1	217	21505	1.000000000
PH	217	11814	1.000000000
UCH	216	21605	1.000000000
p450	215	26214	1.000000000
Laminin_G_2	212	8121	0.571957200
RRM_1	209	7374	0.463176200
UPF0640	209	210	0.000000000
C2	184	7433	0.649499700
Filament	183	19467	1.000000000
LRR_8	183	6576	0.487540600
WT1	182	426	0.000000000
Hormone_recep	175	8362	0.892598300
VWA	173	9933	1.000000000
Homeobox	171	3332	0.032388000
Ribonuclease_3	165	579	0.000000000
UDPGT	160	7004	0.767735800
Y_phosphatase	160	9992	1.000000000
EGF_CA	157	4134	0.170074500
Kinesin	155	12757	1.000000000
RhoGEF	154	7887	0.967310000
KRAB	147	2863	0.032258060
DSPc	133	3289	0.129736000
Sugar_tr	133	14048	1.000000000
ANF_receptor	131	12663	1.000000000
Peptidase_C12	131	631	0.000000000
RhoGAP	126	6196	0.923842400
DEAD	125	9569	1.000000000
WTX	125	1045	0.000000006
Serpin	123	12218	1.000000000
SNF2_N	121	8241	1.000000000
BTB	118	6987	1.000000000
Helicase_C	115	3973	0.434913500
Laminin_EGF	115	3243	0.224744300
CH	114	5144	0.813416500
7tm_2	113	9616	1.000000000
Dynein_heavy	112	10781	1.000000000
Mito_carr	112	6187	1.000000000
ABC_membrane	111	10132	1.000000000
Sema	111	10083	1.000000000
HMG_box	110	1341	0.000133414
Nebulin	110	1040	0.000000288
E1-E2_ATPase	109	9757	1.000000000
PI3_PI4_kinase	106	3234	0.297853700
Kelch_1	105	2874	0.200979100
ABC2_membrane_3	104	7922	1.000000000
Myosin_tail_1	102	11098	1.000000000
JmjC	101	1778	0.014792970
ABC_tran	99	6115	1.000000000
FERM_M	99	3084	0.317778800
HLH	98	1325	0.000740924
Lectin_C	98	5529	1.000000000
Actin	97	9698	1.000000000
HECT	95	8249	1.000000000
Reprolysin	95	5928	1.000000000
SPRY	95	5190	1.000000000
zf-C2H2	95	1143	0.000108747
dsrm	92	1292	0.001220252
Aldedh	87	8237	1.000000000
SNF	87	11546	1.000000000
TSP_1	87	2815	0.360030900
adh_short	86	5880	1.000000000
MIP	86	1685	0.033903140
TPR_11	85	3020	0.472487700
EGF	83	1516	0.019938900
Keratin_B2_2	83	1565	0.025841510
Lig_chan	83	4137	0.938388200
SRCR	82	2973	0.499315700
Aa_trans	81	5887	1.000000000
Ldl_recept_a	81	2028	0.137784400
Neur_chan_memb	81	7576	1.000000000
Sulfotransfer_1	80	7458	1.000000000
NACHT	78	3311	0.720676500
MAGE	77	4306	1.000000000
RabGAP-TBC	77	6400	1.000000000
SH2	77	3415	0.787500800
HCO3_cotransp	76	5106	1.000000000
SMC_N	76	7981	1.000000000
HSP70	75	7765	1.000000000
PX	75	3254	0.754180600
Ig_3	74	2556	0.434628700
Adaptin_N	73	6499	1.000000000
LIM	73	2344	0.351135400
PDEase_I	73	3813	0.988057200
Neur_chan_LBD	72	8197	1.000000000
Filamin	71	2729	0.576964400
HAD	71	7017	1.000000000
Integrin_alpha2	71	7036	1.000000000
Pep_M12B_propep	70	3766	1.000000000
cNMP_binding	69	2489	0.492612900
TAS2R	68	6284	1.000000000
Hydrolase	67	6181	1.000000000
IRK	67	3786	1.000000000
EF-hand_7	66	3369	0.963811100
OATP	66	7437	1.000000000
TIG	66	2838	0.740501500
Vinculin	66	4645	1.000000000
Cpn60_TCP1	65	6589	1.000000000
C1-set	64	1770	0.209268800
MT	64	3978	1.000000000
PHD	64	1208	0.026032500
PI3Ka	64	1711	0.181960200
PLU-1	64	1323	0.048428610
Anoctamin	63	5694	1.000000000
PTEN_C2	63	677	0.000010531
AAA	62	2896	0.864644000
An_peroxidase	62	5124	1.000000000
RasGEF_N	62	921	0.002461991
Peptidase_M14	61	6533	1.000000000
PMP22_Claudin	61	5039	1.000000000
PP2C	60	4094	1.000000000
SSF	60	4311	1.000000000
Ank	59	1020	0.012639060
G-alpha	59	5598	1.000000000
Histone	59	2305	0.600916700
COesterase	58	7543	1.000000000
Metallophos	58	4426	1.000000000
Peptidase_M1	57	4562	1.000000000
SH3_1	57	1198	0.053848200
Arm	56	777	0.001006530
Oxysterol_BP	56	4151	1.000000000
AA_permease	55	4118	1.000000000
Gla	55	232	0.000000000
Glycos_transf_2	55	3276	1.000000000
Zona_pellucida	55	3174	1.000000000
Septin	54	3311	1.000000000
Aldo_ket_red	53	4674	1.000000000
Cadherin_2	53	1695	0.346463400
FHA	53	1463	0.207751200
SRI	53	95	0.000000000
7tm_3	52	4961	1.000000000
AA_permease_2	52	5971	1.000000000
Cullin	52	5362	1.000000000
KH_1	52	1584	0.296342200
Glyco_hydro_31	51	3900	1.000000000
Plectin	51	605	0.000082067
Thioredoxin	51	2928	1.000000000
Furin-like	50	964	0.029917820
Myotub-related	50	4121	1.000000000
Peptidase_C2	50	2976	1.000000000
PID	50	3062	1.000000000
Rap_GAP	50	1494	0.277700800
SH3_9	50	1130	0.081942500
BACK	49	2444	0.939123700
Sulfatase	49	5390	1.000000000
UQ_con	49	3213	1.000000000
Aminotran_1_2	48	5233	1.000000000
C2-set_2	48	1735	0.495297200
Exo_endo_phos	48	5122	1.000000000
Hist_deacetyl	48	2778	1.000000000
Myc_N	48	619	0.000350631
Tetraspannin	48	5477	1.000000000
AF-4	47	5259	1.000000000
ARID	47	1240	0.171316500
Ephrin_lbd	47	1405	0.278143400
MAM	47	2403	0.965516800
RCC1	47	1381	0.261331600
BAR	46	2949	1.000000000
DHC_N2	46	5405	1.000000000
Fork_head	46	1771	0.579396200
Guanylate_cyc	46	3631	1.000000000
GVQW	46	386	0.000000007
Integrin_beta	46	3816	1.000000000
PLAT	46	2144	0.861462200
Na_sulph_symp	45	2900	1.000000000
RRM_6	45	1380	0.302790800
zf-C4	45	1161	0.157115000
ASC	44	4826	1.000000000
Cyclin_N	44	2832	1.000000000
Glyco_transf_29	44	5217	1.000000000
RasGEF	44	3939	1.000000000
DUF1908	43	1104	0.153992600
MHC_I	43	3080	1.000000000
Peptidase_C14	43	3660	1.000000000
RA	43	1592	0.526776100
SEA	43	2381	1.000000000
TGFb_propeptide	43	4606	1.000000000
Cadherin_C	42	2458	1.000000000
DOCK-C2	42	1914	0.828170000
F5_F8_type_C	42	2784	1.000000000
Hamartin	42	718	0.011294230
MHC_II_beta	42	377	0.000000058
RGS	42	2195	0.988639600
ubiquitin	42	1576	0.544237400
Voltage_CLC	42	3444	1.000000000
A_deaminase	41	2282	1.000000000
AAA_9	41	2615	1.000000000
DHC_N1	41	4743	1.000000000
Ion_trans_2	41	1437	0.454286900
Lipase_GDSL	41	816	0.038189700
SAM_1	41	1325	0.358622700
Sulfate_transp	41	2501	1.000000000
Clathrin	40	2427	1.000000000
DPPIV_N	40	2323	1.000000000
FERM_N	40	1756	0.772060700
Fibrinogen_C	40	3300	1.000000000
Guanylate_kin	40	2813	1.000000000
Lipase	40	3078	1.000000000
MIF4G	40	2375	1.000000000
Na_H_Exchanger	40	4619	1.000000000
VWD	40	3252	1.000000000
Zip	40	4654	1.000000000
ADAM_CR	39	1428	0.512283800
ATG_C	39	381	0.000000900
Ldl_recept_b	39	1394	0.480479800
Carboxyl_trans	38	1659	0.763667300
DAO	38	2941	1.000000000
Ded_cyto	38	1459	0.575354100
FAT	38	1707	0.806709700
OLF	38	3138	1.000000000
PYRIN	38	991	0.163969600
Tubulin	38	3654	1.000000000
TUDOR	38	2304	1.000000000
AAA_8	37	3449	1.000000000
Arf	37	2720	1.000000000
Band_3_cyto	37	2204	1.000000000
C1_1	37	952	0.155370600
CNH	37	2538	1.000000000
DENN	37	2671	1.000000000
Patched	37	3005	1.000000000
ArfGap	36	1628	0.816704900
ERM	36	1062	0.265222900
GTP_EFTU	36	4615	1.000000000
MIR	36	1026	0.233092200
PWWP	36	1683	0.865911600
RUN	36	1744	0.907618600
TTL	36	3381	1.000000000
wnt	36	4919	1.000000000
CARD	35	1368	0.601588200
Pro-rich	35	1244	0.472991600
Tet_JBP	35	1802	0.972898600
AAA_11	34	2206	1.000000000
Band_7	34	2228	1.000000000
Fz	34	1617	0.887441000
MCM	34	2674	1.000000000
Plexin_cytopl	34	4582	1.000000000
Protocadherin	34	882	0.160598000
Abhydrolase_6	33	2809	1.000000000
APOBEC_N	33	1629	0.927983900
C1q	33	2033	1.000000000
CHGN	33	3684	1.000000000
G_glu_transpept	33	2397	1.000000000
Glyco_hydro_15	33	2849	1.000000000
Lipocalin	33	2015	1.000000000
SCAN	33	2103	1.000000000
TNF	33	1239	0.544984700
zf-DHHC	33	2630	1.000000000
CAP	32	1481	0.851073500
DnaJ	32	1022	0.344870100
FCH	32	832	0.162040800
Laminin_N	32	2870	1.000000000
Peptidase_M13_N	32	2350	1.000000000
Proteasome	32	2490	1.000000000
Ricin_B_lectin	32	1937	1.000000000
Sec1	32	4659	1.000000000
Ufd2P_core	32	1267	0.620436600
zf-HC5HC2H	32	580	0.018496340
AAA_6	31	2070	1.000000000
Branch	31	1566	0.952728300
BTB_2	31	1835	1.000000000
FH2	31	3760	1.000000000
zf-piccolo	31	61	0.000000000
Abhydrolase_1	30	2094	1.000000000
Calx-beta	30	2046	1.000000000
Crystall	30	1168	0.595862800
Frizzled	30	3601	1.000000000
FXa_inhibition	30	704	0.101031800
Glypican	30	3347	1.000000000
Integrin_B_tail	30	339	0.000031744
RasGAP	30	1649	1.000000000
SH3_2	30	932	0.315181200
TRAM_LAG1_CLN8	30	2367	1.000000000
5_nucleotid	29	1528	0.997165200
Amino_oxidase	29	3907	1.000000000
Carb_anhydrase	29	3743	1.000000000
CLN5	29	662	0.087060490
EphA2_TM	29	719	0.131416500
Glyco_hydro_1	29	3675	1.000000000
Hexokinase_1	29	1643	1.000000000
Laminin_G_3	29	2069	1.000000000
Na_trans_assoc	29	1855	1.000000000
PAP2	29	1837	1.000000000
PARP	29	2694	1.000000000
Peptidase_M10	29	2402	1.000000000
Sulfotransfer_2	29	2672	1.000000000
zf-B_box	29	755	0.162884400
AAA_7	28	3221	1.000000000
CRAL_TRIO_2	28	1332	0.887732200
FAM47	28	1296	0.851215900
Keratin_B2	28	695	0.132160700
WW	28	480	0.011628320
Xlink	28	1424	0.959888200
2OG-FeII_Oxy_2	27	736	0.197678800
CENP-N	27	337	0.000199840
Dpy19	27	2655	1.000000000
FERM_C	27	610	0.081774640
FMO-like	27	2851	1.000000000
Glyco_transf_8	27	2026	1.000000000
GOLGA2L5	27	1385	0.969003300
MBT	27	733	0.194389500
Peptidase_M24	27	2274	1.000000000
Phosphodiest	27	2621	1.000000000
PIP5K	27	1703	1.000000000
REJ	27	2400	1.000000000
STAS	27	1630	1.000000000
TGF_beta	27	1491	1.000000000
TIR	27	2148	1.000000000
AAA_5	26	1646	1.000000000
Cation_ATPase_C	26	2355	1.000000000
CCDC144C	26	1532	1.000000000
Cupin_8	26	1938	1.000000000
DEP	26	619	0.108255800
DNA_pol_B	26	2265	1.000000000
ERAP1_C	26	1933	1.000000000
Gelsolin	26	1354	0.984920200
Hemopexin	26	849	0.370623200
Peptidase_M16_C	26	1434	1.000000000
PfkB	26	1375	1.000000000
PI-PLC-Y	26	930	0.481431800
PMG	26	1422	1.000000000
Pro_isomerase	26	2150	1.000000000
Pyr_redox_2	26	1953	1.000000000
Sec7	26	1686	1.000000000
Tcp11	26	1843	1.000000000
Thiolase_N	26	1224	0.876128700
14-3-3	25	1514	1.000000000
AAA_33	25	1125	0.809339500
Atrophin-1	25	1841	1.000000000
DAGAT	25	2237	1.000000000
DUF1220	25	334	0.000617309
DUF3451	25	885	0.467623600
DUF3497	25	1650	1.000000000
DUF3518	25	514	0.046975690
Ets	25	1259	0.949426000
FGF	25	1750	1.000000000
Glyco_transf_10	25	2520	1.000000000
HEAT_2	25	1516	1.000000000
LMBR1	25	1673	1.000000000
PNP_UDP_1	25	636	0.148102400
RRM_5	25	952	0.563234300
SAPS	25	872	0.447806300
Serum_albumin	25	1473	1.000000000
START	25	2198	1.000000000
Sterol-sensing	25	700	0.219104600
T4_deiodinase	25	696	0.214549200
T-box	25	2340	1.000000000
V_ATPase_I	25	2732	1.000000000
zf-FCS	25	336	0.000679236
ADAM_spacer1	24	1631	1.000000000
AKAP_110	24	1577	1.000000000
Biopterin_H	24	1328	1.000000000
CBS	24	674	0.221461800
DUF3384	24	422	0.014654080
DUF3498	24	1612	1.000000000
DUF4206	24	1019	0.721025700
ECH	24	2590	1.000000000
GAF	24	1616	1.000000000
Glyco_hydro_18	24	1946	1.000000000
LRR_4	24	633	0.171125300
MutS_III	24	1565	1.000000000
Nramp	24	771	0.351694000
Reticulon	24	1336	1.000000000
zf-RING_2	24	763	0.339520900
A2M_comp	23	1831	1.000000000
Adap_comp_sub	23	2349	1.000000000
AIG1	23	1795	1.000000000
CD20	23	1632	1.000000000
DUF1669	23	2291	1.000000000
DUF3808	23	1022	0.790357300
E1_dh	23	2138	1.000000000
EFG_IV	23	367	0.005695925
GDA1_CD39	23	3697	1.000000000
HOOK	23	3322	1.000000000
Kringle	23	1336	1.000000000
Meckelin	23	1171	0.961055000
NUDIX	23	1449	1.000000000
Peptidase_M2	23	1911	1.000000000
Pyridoxal_deC	23	2677	1.000000000
RrnaAD	23	847	0.519800500
UBA	23	335	0.001998783
ABC2_membrane	22	822	0.538688300
Acyl-CoA_dh_1	22	1459	1.000000000
ADH_N	22	858	0.598371700
Aldolase_II	22	1103	0.944668900
Beta_helix	22	999	0.822856600
CENP-P	22	177	0.000000001
Cyclin_C	22	978	0.791027200
DARPP-32	22	407	0.022321760
Dispanin	22	558	0.146166000
EF-hand_2	22	369	0.009278568
MACPF	22	1443	1.000000000
MARVEL	22	1758	1.000000000
MBOAT	22	2813	1.000000000
Neurexophilin	22	1421	1.000000000
O-FucT	22	684	0.315924500
PEPCK	22	1041	0.881860700
PKD_channel	22	2463	1.000000000
VWC	22	819	0.533935600
Aminotran_5	21	2254	1.000000000
Ank_4	21	525	0.136823500
Annexin	21	992	0.879994100
Beach	21	1930	1.000000000
DEAD_2	21	700	0.394279600
FancD2	21	1424	1.000000000
GBP	21	2137	1.000000000
Hexokinase_2	21	1561	1.000000000
His_Phos_2	21	1718	1.000000000
HSP90	21	2016	1.000000000
IBR	21	743	0.466905400
KRAP_IP3R_bind	21	580	0.208193300
LRR_9	21	1230	1.000000000
MFS_2	21	2048	1.000000000
Na_Ca_ex	21	1376	1.000000000
OB_NTP_bind	21	1576	1.000000000
Peptidase_C54	21	1009	0.898646500
Peptidase_C69	21	656	0.320418400
PFK	21	1759	1.000000000
Pyr_redox	21	508	0.116181600
Recep_L_domain	21	637	0.292278600
Ribosomal_L7Ae	21	587	0.217752900
Sad1_UNC	21	672	0.347151400
THRAP3_BCLAF1	21	2570	1.000000000
TPR_1	21	360	0.011628320
Trichoplein	21	1568	1.000000000
Tuberin	21	355	0.009943723
zf-C5HC2	21	54	0.000000000
Amidohydro_1	20	2112	1.000000000
Asp	20	1605	1.000000000
C4	20	905	0.817621700
Caldesmon	20	653	0.370487100
Carn_acyltransf	20	3528	1.000000000
CPSase_L_D2	20	1237	1.000000000
Cystatin	20	1029	0.972165900
EF-hand_4	20	827	0.682896100
EST1	20	231	0.000047023
FKBP_C	20	535	0.182434800
Gal-bind_lectin	20	1794	1.000000000
GAT	20	612	0.300702100
Glyco_hydro_35	20	1349	1.000000000
Glyco_hydro_56	20	1671	1.000000000
Interferon	20	1781	1.000000000
Iso_dh	20	1887	1.000000000
LUC7	20	806	0.646044500
Macro	20	878	0.772060700
MATH	20	1381	1.000000000
MBD	20	261	0.000404893
MH2	20	1102	1.000000000
