Pfam_domain	Snp_count	Domain_length	locfdr
P53	3684	3685	0.000000000
Pkinase	2787	98193	1.000000000
zf-H2C2_2	2538	35461	0.203925100
Cadherin	2403	50382	0.605030800
I-set	2282	42854	0.505846000
fn3	1706	34740	0.579916400
7tm_1	1464	75715	1.000000000
Pkinase_Tyr	1314	31557	0.709023200
7tm_4	1189	46448	1.000000000
Ras	1127	18115	0.346765200
Ank_2	1117	26395	0.697478700
Ion_trans	981	33565	1.000000000
Spectrin	955	17364	0.474461400
WD40	893	11173	0.110919500
Ig_2	691	18136	0.769541600
Myosin_head	583	26260	1.000000000
Collagen	544	15249	0.894861700
PI3Ka	534	1525	0.000000000
RRM_1	513	11488	0.657621800
ANF_receptor	506	13407	0.775784900
PH	503	14406	0.948870300
V-set	500	16723	1.000000000
Trypsin	497	23799	1.000000000
C2	489	11922	0.719676400
p450	489	26675	1.000000000
PDZ	478	11701	0.722521300
Hormone_recep	473	9908	0.604249900
Sushi	471	10182	0.629983700
UCH	447	24032	1.000000000
CUB	439	12748	0.983298400
Filament	423	21137	1.000000000
MFS_1	423	23697	1.000000000
Y_phosphatase	422	10821	0.754088700
LRR_8	406	11251	0.865819900
Furin-like	368	1287	0.000000000
EGF_CA	335	6464	0.531527100
KRAB	331	6584	0.559453500
RhoGEF	329	10772	1.000000000
Laminin_G_2	327	9162	0.893698200
Sema	318	12680	1.000000000
VWA	316	13164	1.000000000
AMP-binding	311	16331	1.000000000
7tm_2	305	10948	1.000000000
Homeobox	294	7437	0.744978900
BTB	293	10079	1.000000000
SNF2_N	284	10173	1.000000000
Sugar_tr	280	14813	1.000000000
CH	276	7245	0.769641700
RB_A	273	459	0.000000000
Histone	272	4782	0.440479000
Myosin_tail_1	269	11247	1.000000000
Kinesin	262	14357	1.000000000
TPR_11	251	4654	0.493685600
DEAD	249	10670	1.000000000
Serpin	248	13903	1.000000000
Actin	247	11516	1.000000000
RhoGAP	246	8334	1.000000000
ABC_tran	238	9695	1.000000000
Lectin_C	236	8342	1.000000000
ABC_membrane	235	11161	1.000000000
EF-hand_7	234	6669	0.936592000
TSP_1	234	4640	0.556704700
E1-E2_ATPase	218	9785	1.000000000
Mito_carr	218	8230	1.000000000
UDPGT	216	7506	1.000000000
SH2	208	5686	0.831051200
MIP	205	3116	0.288002800
G-alpha	204	5786	0.924480100
Dynein_heavy	201	10737	1.000000000
Helicase_C	201	5407	0.789743200
Hydrolase	200	6908	1.000000000
SPRY	197	8572	1.000000000
Filamin	195	4602	0.696561100
Integrin_alpha2	194	8330	1.000000000
Neur_chan_LBD	190	9313	1.000000000
zf-C2H2	190	2328	0.097195240
COesterase	189	7543	1.000000000
Recep_L_domain	186	1315	0.000033310
Bromodomain	182	3084	0.402537100
LIM	182	4251	0.689132000
KH_1	179	3200	0.457433400
RabGAP-TBC	179	7679	1.000000000
Neur_chan_memb	176	8665	1.000000000
Sulfotransfer_1	174	8292	1.000000000
Laminin_EGF	171	4016	0.693069200
adh_short	170	7937	1.000000000
SNF	167	11028	1.000000000
Vinculin	167	4292	0.755607500
JmjC	165	2046	0.105053200
PI3_PI4_kinase	164	3955	0.711967100
TAS2R	161	6287	1.000000000
MHC_I	160	3116	0.540212800
Peptidase_M14	160	7528	1.000000000
AAA	159	5377	1.000000000
HAD	158	7361	1.000000000
HSP70	155	9231	1.000000000
SMC_N	154	7981	1.000000000
Cullin	153	5985	1.000000000
Kelch_1	153	4061	0.776934700
SET	151	4800	1.000000000
7tm_3	149	4957	1.000000000
OATP	149	8073	1.000000000
PMP22_Claudin	147	6421	1.000000000
SH3_1	146	2523	0.422861800
Fork_head	145	3141	0.631599200
Anoctamin	144	5972	1.000000000
Metallophos	143	5621	1.000000000
Guanylate_kin	142	3840	0.803281900
DSPc	141	5088	1.000000000
Exo_endo_phos	141	6965	1.000000000
Lig_chan	141	4137	1.000000000
Aldedh	138	8486	1.000000000
EGF	138	2064	0.271358700
Aa_trans	135	6122	1.000000000
HECT	135	8088	1.000000000
Reprolysin	135	6079	1.000000000
SRCR	135	4530	1.000000000
Nebulin	133	1154	0.001979808
PDEase_I	133	4669	1.000000000
