Pfam_domain	Snp_count	Domain_length	locfdr
P53	5359	5360	0.000000000
Iso_dh	4961	4962	0.000000000
Pkinase	1466	76875	1.000000000
zf-H2C2_2	1410	13918	0.000047235
Pkinase_Tyr	1322	26935	0.121119200
Cadherin	1179	33347	0.371006900
I-set	1156	28059	0.239842800
7tm_1	1034	66318	1.000000000
fn3	928	25839	0.355790800
7tm_4	865	41403	1.000000000
Ank_2	540	17944	0.531039700
Ion_trans	536	28685	1.000000000
Furin-like	486	1287	0.000000000
Ig_2	484	14548	0.428865500
Trypsin	460	21193	1.000000000
PNP_UDP_1	443	887	0.000000000
DSPc	440	2882	0.000000000
Spectrin	405	12284	0.437317300
Collagen	388	10447	0.326567400
V-set	347	11960	0.571722300
p450	343	25465	1.000000000
MIP	288	2194	0.000000038
PTEN_C2	284	826	0.000000000
Myosin_head	276	23502	1.000000000
WD40	272	4879	0.062426990
Filament	254	19973	1.000000000
MHC_I	251	2980	0.001190023
Sushi	247	6169	0.262433100
RRM_1	241	6336	0.305640400
EGF_CA	236	3712	0.025319560
PH	236	9870	0.824503000
SH2	230	3621	0.025513030
SNF2_N	228	6587	0.391380200
Y_phosphatase	220	9100	0.799240900
Ras	218	11364	1.000000000
ANF_receptor	205	12119	1.000000000
C2	203	6798	0.539505300
PI3Ka	194	1344	0.000000002
RB_A	194	460	0.000000000
VWA	190	10167	1.000000000
GF_recep_IV	189	603	0.000000000
PDZ	187	7157	0.689491500
RhoGAP	185	5362	0.394463300
LRR_8	182	5911	0.507922400
UCH	173	20699	1.000000000
RhoGEF	171	8782	1.000000000
Recep_L_domain	170	1019	0.000000000
CUB	169	7744	1.000000000
Serpin	165	12387	1.000000000
MFS_1	162	19854	1.000000000
HMG_box	161	1201	0.000000023
UDPGT	159	7506	1.000000000
Helicase_C	157	3075	0.100879300
FKBP_C	156	1273	0.000000394
AMP-binding	153	14651	1.000000000
Neur_chan_LBD	148	8432	1.000000000
Sugar_tr	148	13802	1.000000000
Lectin_C	146	5756	0.723606600
Neur_chan_memb	143	6528	1.000000000
IRK	142	4183	0.409876200
KH_1	142	1761	0.002209211
KRAB	142	1894	0.005271088
C1-set	139	2237	0.030052320
DEAD	139	6889	1.000000000
EGF	139	2178	0.024528480
Homeobox	138	4359	0.479453400
Mito_carr	138	5243	0.680966300
Keratin_B2_2	136	1656	0.001692225
Laminin_G_2	136	6545	1.000000000
Hormone_recep	134	6279	1.000000000
Myosin_tail_1	130	11447	1.000000000
7tm_2	128	9094	1.000000000
ABC_membrane	127	8986	1.000000000
Patched	127	3437	0.331010400
ABC_tran	126	7523	1.000000000
E1-E2_ATPase	126	8250	1.000000000
Actin	120	9841	1.000000000
Sema	118	11081	1.000000000
SEA	117	2582	0.170272400
Sulfotransfer_1	116	5673	1.000000000
TAS2R	115	4485	0.711206100
LIM	114	2773	0.241549100
Anoctamin	113	5972	1.000000000
HAD	112	6549	1.000000000
Kinesin	109	10975	1.000000000
Reprolysin	107	5639	1.000000000
TPR_11	107	2148	0.112900700
CH	106	3737	0.596663800
EF-hand_7	105	3548	0.549617400
SNF	105	10843	1.000000000
HSP70	102	6525	1.000000000
Laminin_EGF	102	3239	0.484910800
An_peroxidase	101	5327	1.000000000
