Pfam_domain	Snp_count	Domain_length	locfdr
G-alpha	583	1053	0.000000000
Pkinase_Tyr	118	1743	0.000183784
Peptidase_C12	118	214	0.000000000
RB_A	78	266	0.000000000
P53	45	305	0.000000000
Ras	41	484	0.000000975
WD40	16	217	0.000031324
DUF3452	13	125	0.000000002
fn3	9	431	0.779311700
Ribonuclease_3	9	386	0.633576400
zf-H2C2_2	9	233	0.104607000
DSPc	9	127	0.000073611
Pkinase	7	1691	1.000000000
Ion_trans	7	690	1.000000000
Cadherin	6	377	1.000000000
eIF-1a	6	64	0.000000045
Myosin_head	5	2232	0.584173900
7tm_1	5	1324	1.000000000
Oxysterol_BP	5	358	1.000000000
Ank_2	5	261	0.892380300
PTEN_C2	5	162	0.293804600
Trypsin	4	918	1.000000000
PFK	4	599	1.000000000
7tm_4	4	581	1.000000000
V-set	4	353	1.000000000
Insulin	4	312	1.000000000
PH	4	312	1.000000000
T-box	4	178	0.682006300
RRM_6	4	134	0.329348900
DUF3371	4	127	0.272848800
Ig_3	4	84	0.021956640
AMP-binding	3	911	0.932153400
E1-E2_ATPase	3	539	1.000000000
UPF0564	3	353	1.000000000
CCDC144C	3	292	1.000000000
I-set	3	261	1.000000000
CUB	3	223	1.000000000
FRG2	3	182	1.000000000
CRAL_TRIO_2	3	147	0.809473800
C2-set_2	3	93	0.247848400
zf-C4	3	70	0.052964980
Dynein_heavy	2	1214	0.449797800
CHGN	2	1038	0.514401200
OATP	2	1035	0.515643400
Sema	2	895	0.582921800
Meckelin	2	833	0.620088100
ABC2_membrane_3	2	764	0.666663000
p450	2	752	0.675411300
Ndc1_Nup	2	650	0.840415800
Cullin	2	599	0.951206800
SGT1	2	585	0.984129200
DNA_pol_B	2	541	1.000000000
An_peroxidase	2	538	1.000000000
COesterase	2	495	1.000000000
Peptidase_S28	2	423	1.000000000
PAP_central	2	349	1.000000000
FERM_M	2	292	1.000000000
Syja_N	2	288	1.000000000
Cyclin_N	2	283	1.000000000
MAGE	2	267	1.000000000
VIT	2	238	1.000000000
FAD_binding_1	2	221	1.000000000
Guanylate_cyc	2	201	1.000000000
Metallophos	2	196	1.000000000
Nucleoplasmin	2	184	1.000000000
VWD	2	155	1.000000000
DUF1227	2	146	1.000000000
MATH	2	141	1.000000000
Focal_AT	2	139	1.000000000
RRM_1	2	139	1.000000000
IMS_C	2	134	1.000000000
AKNA	2	108	0.935952500
Spectrin	2	107	0.924071000
SEA	2	98	0.809473800
TTL	2	78	0.510788000
SH2	2	75	0.462401700
EGF	2	71	0.395520200
Sushi	2	59	0.202447600
TSP_1	2	50	0.084195280
UBA	2	38	0.007983372
DNA_pol_phi	1	756	0.429996500
Daxx	1	740	0.429996500
Sec3_C	1	703	0.429996500
NMDAR2_C	1	645	0.429996500
DUF3827	1	640	0.429996500
NYD-SP12_N	1	568	0.476571700
SNF	1	525	0.509485900
TFIIF_alpha	1	516	0.516890900
Apt1	1	475	0.553248400
Ric8	1	448	0.582354100
Ins_P5_2-kin	1	446	0.584630400
PA26	1	440	0.591552100
Adenylsucc_synt	1	425	0.609493500
DNA_pol_A	1	411	0.627117900
Voltage_CLC	1	405	0.634949700
SDF	1	366	0.690467400
LANC_like	1	345	0.762264700
Glyco_hydro_38	1	318	0.869496700
Filament	1	312	0.895198900
DUF2217	1	311	0.899554900
Hist_deacetyl	1	311	0.899554900
KAT11	1	307	0.917191000
Mtc	1	307	0.917191000
HECT	1	306	0.921654000
GBP_C	1	297	0.962831000
Piwi	1	291	0.991338200
RR_TM4-6	1	290	0.996175300
RVT_1	1	271	1.000000000
HNF-1B_C	1	260	1.000000000
Carb_anhydrase	1	256	1.000000000
OLF	1	254	1.000000000
PI3_PI4_kinase	1	251	1.000000000
Y_phosphatase	1	245	1.000000000
Band_3_cyto	1	244	1.000000000
MFS_1	1	242	1.000000000
FAD-oxidase_C	1	240	1.000000000
Topoisom_I	1	238	1.000000000
AAA_30	1	232	1.000000000
Protocadherin	1	226	1.000000000
Band_7	1	219	1.000000000
Fibrinogen_C	1	216	1.000000000
Angiomotin_C	1	209	1.000000000
MYT1	1	208	1.000000000
Ku	1	203	1.000000000
MFS_2	1	192	1.000000000
FRG1	1	190	1.000000000
Ax_dynein_light	1	189	1.000000000
Methyltransf_23	1	189	1.000000000
ITI_HC_C	1	188	1.000000000
Peptidase_C48	1	188	1.000000000
Guanylate_kin	1	186	1.000000000
PI3Ka	1	186	1.000000000
CITED	1	183	1.000000000
DUF4505	1	183	1.000000000
SUFU	1	180	1.000000000
GrpE	1	178	1.000000000
DUF4594	1	175	1.000000000
PAZ	1	175	1.000000000
BEX	1	173	1.000000000
HIN	1	169	1.000000000
NAD_Gly3P_dh_N	1	169	1.000000000
YjeF_N	1	167	1.000000000
adh_short	1	163	1.000000000
Thioredox_DsbH	1	163	1.000000000
HH_signal	1	161	1.000000000
Pyridoxal_deC	1	161	1.000000000
MAM	1	158	1.000000000
PRA1	1	157	1.000000000
CAP_C	1	154	1.000000000
Radical_SAM	1	147	1.000000000
Na_Pi_cotrans	1	146	1.000000000
CDP-OH_P_transf	1	142	1.000000000
VCX_VCY	1	142	1.000000000
RhoGAP	1	141	1.000000000
Peptidase_M14	1	139	1.000000000
TPP_enzyme_M	1	130	1.000000000
Transglut_N	1	130	1.000000000
Bile_Hydr_Trans	1	128	1.000000000
AXH	1	126	1.000000000
Glyco_tranf_2_4	1	121	1.000000000
PI-PLC-Y	1	118	1.000000000
VPS9	1	118	1.000000000
SPRY	1	116	1.000000000
Nexin_C	1	112	1.000000000
WH1	1	109	1.000000000
Tissue_fac	1	107	1.000000000
HEAT_2	1	106	1.000000000
Erf4	1	105	1.000000000
PX	1	102	1.000000000
PAS_9	1	101	1.000000000
