Pfam_domain	Snp_count	Domain_length	locfdr
P53	542	543	0.000000000
zf-H2C2_2	418	7055	0.004693862
Cadherin	343	14346	0.467957500
Iso_dh	323	926	0.000000000
fn3	315	11637	0.335068600
Pkinase	313	36103	1.000000000
I-set	293	10892	0.341337700
7tm_1	262	39419	1.000000000
G-alpha	233	3550	0.001394453
7tm_4	198	19531	1.000000000
Pkinase_Tyr	169	16188	1.000000000
Ank_2	164	7244	0.533121000
Collagen	146	4504	0.188361500
Ion_trans	146	14055	1.000000000
Ig_2	123	5494	0.546236400
Spectrin	119	5247	0.531030200
Trypsin	111	10813	1.000000000
Sushi	101	2979	0.160584500
Myosin_head	100	21379	1.000000000
PDZ	95	3744	0.403131400
V-set	94	5405	0.872789200
p450	86	18198	1.000000000
PNP_UDP_1	85	636	0.000000000
C2	80	3695	0.586679100
CUB	78	3875	0.681155200
PH	78	3742	0.636312500
ANF_receptor	75	8827	1.000000000
Ras	74	5258	1.000000000
AMP-binding	71	9732	1.000000000
MFS_1	71	14116	1.000000000
WD40	71	1952	0.120726400
VWA	70	5561	1.000000000
Y_phosphatase	66	5410	1.000000000
UCH	62	13027	1.000000000
LRR_8	61	2196	0.312506100
RRM_1	58	2337	0.426088300
Sugar_tr	56	9064	1.000000000
EGF_CA	54	1422	0.100417900
TSP_1	54	1721	0.212407500
ABC_tran	52	3956	1.000000000
Filament	50	10109	1.000000000
Hormone_recep	49	2802	0.865675200
LIM	48	1268	0.101921900
RhoGEF	48	3760	1.000000000
ABC_membrane	47	6109	1.000000000
DEAD	47	3760	1.000000000
KRAB	47	1256	0.107396800
Myosin_tail_1	47	9995	1.000000000
Mito_carr	44	2332	0.765669800
SNF2_N	44	5305	1.000000000
BTB	42	2785	1.000000000
Pro-rich	42	917	0.036458370
EF-hand_7	41	1853	0.559973300
Peptidase_M14	41	4056	1.000000000
SNF	41	8388	1.000000000
Serpin	40	6231	1.000000000
SET	39	2157	0.822237300
Ank	38	560	0.000943791
Lectin_C	38	2707	1.000000000
UDPGT	38	4508	1.000000000
E1-E2_ATPase	37	4483	1.000000000
Keratin_B2_2	36	1086	0.173806200
Laminin_G_2	36	2181	0.923615700
Laminin_EGF	34	1141	0.249734000
RabGAP-TBC	34	3193	1.000000000
Filamin	32	1571	0.666014800
Reprolysin	32	2612	1.000000000
Actin	31	6088	1.000000000
7tm_2	30	4744	1.000000000
Dynein_heavy	30	7714	1.000000000
Kelch_1	30	888	0.162680200
Kinesin	29	5600	1.000000000
Sema	29	6311	1.000000000
SH2	29	1017	0.289338800
Sulfotransfer_1	29	3752	1.000000000
CH	28	1756	0.954399000
HCO3_cotransp	28	3554	1.000000000
Neur_chan_memb	28	2977	1.000000000
Patched	28	2215	1.000000000
PHD	28	553	0.018675140
RB_A	28	653	0.054403850
TAS2R	28	3889	1.000000000
adh_short	27	2771	1.000000000
RasGEF	26	1937	1.000000000
Reticulon	26	1142	0.526488600
TTL	26	2059	1.000000000
Vinculin	26	2563	1.000000000
Gelsolin	25	790	0.206154000
Ldl_recept_a	25	865	0.277316400
Lig_chan	25	2479	1.000000000
SPRY	25	2049	1.000000000
2-Hacid_dh	24	951	0.408780600
Adaptin_N	24	4489	1.000000000
AF-4	24	4100	1.000000000
EGF	24	512	0.032030610
Guanylate_kin	24	972	0.431361000
Integrin_alpha2	24	5390	1.000000000
RhoGAP	24	2286	1.000000000
SEA	24	1493	0.947233600
Anoctamin	23	4471	1.000000000
Nebulin	23	231	0.000000334
AA_permease	22	2555	1.000000000
Aldo_ket_red	22	3390	1.000000000
Homeobox	22	1045	0.623409900
KH_1	22	831	0.358416000
PI-PLC-X	22	924	0.473004900
SRCR	22	1194	0.797314200
Arf	21	2282	1.000000000
COesterase	21	3837	1.000000000
DAO	21	1774	1.000000000
DHC_N1	21	3370	1.000000000
FAM47	21	1025	0.658570000
Glyco_hydro_31	21	3284	1.000000000
HAD	21	4097	1.000000000
HECT	21	2535	1.000000000
Hydrolase	21	3433	1.000000000
Neur_chan_LBD	21	2987	1.000000000
ABC2_membrane_3	20	4468	1.000000000
CD36	20	906	0.562671000
cNMP_binding	20	957	0.632948500
Exo_endo_phos	20	3583	1.000000000
F5_F8_type_C	20	1093	0.806481400
Helicase_C	20	1246	0.948538300
Histone	20	1212	0.923862700
NACHT	20	1878	1.000000000
PAX	20	375	0.012065230
Sterol-sensing	20	309	0.001668966
TPR_11	20	1113	0.830327000
DOCK-C2	19	1144	0.918062800
MHC_I	19	1870	1.000000000
MT	19	3445	1.000000000
Oxysterol_BP	19	2580	1.000000000
Pep_M12B_propep	19	1419	1.000000000
AAA	18	1277	1.000000000
DHC_N2	18	2885	1.000000000
DUF3497	18	900	0.689327000
Frizzled	18	1627	1.000000000
Ig_3	18	1001	0.829411700
Laminin_N	18	1452	1.000000000
MAM	18	1428	1.000000000
Metallophos	18	2127	1.000000000
Peptidase_M1	18	3295	1.000000000
PP2C	18	1716	1.000000000
C1-set	17	790	0.594732900
C2-set_2	17	846	0.683335700
CARD	17	769	0.561007700
Clathrin	17	1291	1.000000000
dsrm	17	424	0.077754990
Gla	17	77	0.000000000
Ion_trans_2	17	628	0.335029200
IRK	17	2507	1.000000000
Ldl_recept_b	17	580	0.264693000
PDEase_I	17	1673	1.000000000
Peptidase_C48	17	611	0.311069000
Pyridoxal_deC	17	1769	1.000000000
SSF	17	3604	1.000000000
Aa_trans	16	2718	1.000000000
Band_3_cyto	16	1235	1.000000000
Bromodomain	16	869	0.798285100
C1q	16	1403	1.000000000
Cadherin_C	16	1293	1.000000000
DAGAT	16	1780	1.000000000
Ferric_reduct	16	759	0.621695500
Fibrinogen_C	16	2072	1.000000000
HSP70	16	4597	1.000000000
IL6Ra-bind	16	288	0.008708045
Lipoxygenase	16	2899	1.000000000
MIP	16	915	0.865761600
Na_H_Exchanger	16	3327	1.000000000
OLF	16	2023	1.000000000
PI3Ka	16	965	0.919586800
PMP22_Claudin	16	1759	1.000000000
RCC1	16	496	0.191984900
RGS	16	1258	1.000000000
SMC_N	16	5580	0.933656800
Tetraspannin	16	2829	1.000000000
Thioredoxin	16	944	0.899670600
ubiquitin	16	599	0.348903400
An_peroxidase	15	3679	1.000000000
Carb_anhydrase	15	2211	1.000000000
COLFI	15	1084	1.000000000
DSPc	15	1210	1.000000000
MAGE	15	1536	1.000000000
MCM	15	1686	1.000000000
Myotub-related	15	2397	1.000000000
Peptidase_C2	15	1891	1.000000000
PMG	15	1494	1.000000000
PX	15	1141	1.000000000
RUN	15	836	0.832285000
SAM_1	15	677	0.558379600
Sulfotransfer_2	15	1744	1.000000000
Zona_pellucida	15	2088	1.000000000
BTB_2	14	975	1.000000000
Cpn60_TCP1	14	3673	1.000000000
DnaJ	14	566	0.429545200
FERM_M	14	1383	1.000000000
Guanylate_cyc	14	1896	1.000000000
MARVEL	14	1021	1.000000000
MBT	14	521	0.342498100
PHTB1_C	14	381	0.115964900
PLAT	14	920	0.995170700
Pyr_redox_2	14	1655	1.000000000
Tektin	14	1887	1.000000000
UQ_con	14	981	1.000000000
zf-C2H2	14	303	0.034789720
Arm	13	282	0.035225040
CNH	13	1408	1.000000000
Cullin	13	2837	1.000000000
FCH	13	561	0.505524800
GKAP	13	705	0.796288800
Glyco_transf_29	13	2937	1.000000000
Lipocalin	13	1336	1.000000000
LON	13	842	0.982633100
MIR	13	471	0.318109700
PI3_PI4_kinase	13	1849	1.000000000
SDF	13	2095	1.000000000
TGFb_propeptide	13	2264	1.000000000
TUDOR	13	1384	1.000000000
zf-B_box	13	329	0.083032490
7tm_3	12	1552	1.000000000
AA_permease_2	12	2923	1.000000000
AAA_8	12	1838	1.000000000
Aldedh	12	2626	1.000000000
Ammonium_transp	12	1834	1.000000000
Cadherin_2	12	676	0.846254700
Cation_ATPase_C	12	975	1.000000000
DEP	12	414	0.274721200
DUF2051	12	666	0.826791200
DUF3451	12	655	0.804868400
ECH	12	1259	1.000000000
Ephrin_lbd	12	1052	1.000000000
FAD_binding_1	12	1121	1.000000000
FHA	12	568	0.618830600
Fork_head	12	659	0.812903800
Gasdermin	12	2030	1.000000000
GDA1_CD39	12	1736	1.000000000
Glycos_transf_2	12	1796	1.000000000
Hexokinase_2	12	960	1.000000000
Lipase	12	1825	1.000000000
Na_sulph_symp	12	2335	1.000000000
PID	12	881	1.000000000
Plectin	12	90	0.000000000
Plexin_cytopl	12	3451	1.000000000
RHD	12	931	1.000000000
RRM_6	12	489	0.437678500
SCAN	12	722	0.917406100
STAG	12	120	0.000000304
Syntaphilin	12	617	0.724673200
TIG	12	932	1.000000000
Tubulin	12	1668	1.000000000
VWD	12	913	1.000000000
wnt	12	2484	1.000000000
A_deamin	11	1409	1.000000000
ADAM_spacer1	11	639	0.885481800
AKAP_110	11	1446	1.000000000
BACK	11	820	1.000000000
BAR	11	1098	1.000000000
CD20	11	1066	1.000000000
CLN5	11	217	0.018525730
CRAL_TRIO_2	11	889	1.000000000
DNA_pol_B	11	1366	1.000000000
FAT	11	842	1.000000000
FH2	11	2630	1.000000000
Glyco_hydro_18	11	1541	1.000000000
Glyco_transf_10	11	1829	1.000000000
GRAM	11	344	0.198475900
Integrin_beta	11	1792	1.000000000
IQ	11	146	0.000191190
Kringle	11	720	0.991751900
MACPF	11	1299	1.000000000
MFS_2	11	1902	1.000000000
Miro	11	622	0.851140200
OATP	11	4162	0.890504700
Peptidase_M2	11	1195	1.000000000
Pro_isomerase	11	1114	1.000000000
PRY	11	228	0.026450000
RA	11	516	0.607064000
RBD	11	348	0.206999700
Spc97_Spc98	11	2452	1.000000000
Stork_head	11	189	0.005565028
Sulfatase	11	3219	1.000000000
TIR	11	1152	1.000000000
tRNA-synt_1	11	2645	1.000000000
Voltage_CLC	11	2479	1.000000000
zf-C2HC	11	169	0.001516211
AAA_5	10	422	0.478737100
ADH_zinc_N	10	947	1.000000000
AIG1	10	1372	1.000000000
ArfGap	10	797	1.000000000
ATP-grasp_2	10	418	0.467231500
CHGN	10	2688	1.000000000
Cyclin_N	10	1008	1.000000000
DEAD_2	10	370	0.336408200
DUF3513	10	803	1.000000000
DUF3608	10	272	0.115718800
EF-hand_8	10	323	0.222182600
HMG_box	10	402	0.423702300
IL8	10	585	0.891907700
IMS	10	447	0.547110100
Mesothelin	10	1658	1.000000000
MYT1	10	696	1.000000000
Neurochondrin	10	608	0.926819400
NMDAR2_C	10	1361	1.000000000
PARP	10	820	1.000000000
PDCD9	10	429	0.498483100
PI3K_C2	10	555	0.826791200
REJ	10	1736	1.000000000
Ricin_B_lectin	10	762	1.000000000
RNase_T	10	596	0.908856800
SH3_2	10	246	0.072736650
SH3_9	10	201	0.020943910
Somatomedin_B	10	134	0.000216282
SWIB	10	272	0.115718800
zf-DHHC	10	716	1.000000000
zf-HC5HC2H	10	344	0.272114600
A_deaminase	9	1874	1.000000000
AAA_6	9	1386	1.000000000
Abhydrolase_5	9	731	1.000000000
Adap_comp_sub	9	1319	1.000000000
Aminotran_1_2	9	2607	1.000000000
APOBEC_N	9	1065	1.000000000
ARID	9	454	0.700529300
DAGK_acc	9	656	1.000000000
Ded_cyto	9	734	1.000000000
DOR	9	547	0.926491600
DPPIV_N	9	1216	1.000000000
DUF3808	9	910	1.000000000
FERM_N	9	690	1.000000000
FKBP_C	9	446	0.677974100
FRG2	9	546	0.924849900
FTHFS	9	1215	1.000000000
FYVE	9	387	0.501264500
GVQW	9	213	0.058457390
HLH	9	304	0.255636500
HOOK	9	2594	1.000000000
IDO	9	958	1.000000000
Kazal_2	9	288	0.215377700
LCE	9	563	0.952160400
LRR_5	9	780	1.000000000
Macro	9	352	0.395167200
Na_Ca_ex	9	975	1.000000000
Na_trans_assoc	9	982	1.000000000
Peptidase_M10	9	1300	1.000000000
Peptidase_S8	9	1993	1.000000000
PHTB1_N	9	519	0.876514000
Proteasome	9	1248	1.000000000
SH3_1	9	384	0.491955200
Tmemb_55A	9	637	1.000000000
TNF	9	819	1.000000000
AAA_12	8	791	1.000000000
AAA_7	8	1372	1.000000000
ADH_N	8	640	1.000000000
Amidohydro_1	8	1400	1.000000000
Amino_oxidase	8	2379	1.000000000
Annexin	8	327	0.440815500
ASC	8	1946	1.000000000
Calpain_III	8	620	1.000000000
CEP170_C	8	706	1.000000000
CTF_NFI	8	436	0.802848000
Cyt-b5	8	288	0.312506100
DAGK_cat	8	397	0.679758200
Daxx	8	740	1.000000000
DNA_pol_phi	8	909	1.000000000
DUF4455	8	474	0.903515200
DUF4482	8	141	0.006949534
FGGY_C	8	763	1.000000000
FGGY_N	8	976	1.000000000
FMO-like	8	2320	1.000000000
Glyco_hydro_15	8	1744	1.000000000
Glyco_hydro_38C	8	1416	1.000000000
Glyco_hydro_47	8	1767	1.000000000
Gpi16	8	574	1.000000000
GST_C_2	8	303	0.361293000
HA2	8	373	0.599095000
HEAT_2	8	519	0.984049800
Hexokinase_1	8	616	1.000000000
Hist_deacetyl	8	1276	1.000000000
ig	8	390	0.657002600
IMD	8	520	0.985719800
Laminin_G_1	8	825	1.000000000
LRR_4	8	373	0.599095000
MatE	8	588	1.000000000
Med23	8	1313	1.000000000
MutS_V	8	741	1.000000000
Myc_N	8	793	1.000000000
NDK	8	765	1.000000000
NHS	8	1301	1.000000000
PI-PLC-Y	8	471	0.897739200
PKD_channel	8	1477	1.000000000
PLDc_3	8	361	0.558164500
PWWP	8	403	0.698788700
RNase_Zc3h12a	8	602	1.000000000
RYDR_ITPR	8	1033	1.000000000
Sec16_C	8	735	1.000000000
SGT1	8	585	1.000000000
Sulfate_transp	8	1137	1.000000000
TEA	8	1539	1.000000000
TMEM151	8	506	0.961892000
TSP_3	8	186	0.053579090
Xlink	8	479	0.913020900
Xpo1	8	486	0.926081600
4F5	7	76	0.000002836
5_nucleotid	7	931	1.000000000
AAA_9	7	921	1.000000000
ADK	7	840	1.000000000
AMP-binding_C	7	308	0.528554700
Anillin	7	561	1.000000000
ApoL	7	914	1.000000000
Asp	7	1641	1.000000000
B56	7	1637	1.000000000
C8	7	434	0.944257700
CAF1	7	1037	1.000000000
Carn_acyltransf	7	2345	0.955611900
Choline_transpo	7	1054	1.000000000
Connexin	7	649	1.000000000
Cystatin	7	481	1.000000000
DENN	7	589	1.000000000
DNA_methylase	7	987	1.000000000
DUF1086	7	313	0.547484200
Dynamin_N	7	819	1.000000000
EF-hand_3	7	99	0.000517496
Epimerase	7	718	1.000000000
ERM	7	767	1.000000000
ETS_PEA3_N	7	667	1.000000000
FBPase	7	520	1.000000000
Formyl_trans_C	7	315	0.554929500
GBP_C	7	1184	1.000000000
Glyco_hydro_35	7	805	1.000000000
HAP1_N	7	877	1.000000000
His_Phos_1	7	476	1.000000000
Hormone_1	7	444	0.964368500
IF-2B	7	1127	1.000000000
JmjC	7	351	0.692944000
LBP_BPI_CETP_C	7	1160	1.000000000
Ldh_1_C	7	505	1.000000000
Linker_histone	7	302	0.505221200
M16C_assoc	7	249	0.301954900
Mab-21	7	826	1.000000000
MRVI1	7	1636	1.000000000
NAP	7	1314	1.000000000
Ndr	7	396	0.851736600
OAS1_C	7	406	0.883915200
PB1	7	321	0.577186200
PEPCK	7	1041	1.000000000
Peptidase_C69	7	421	0.917049400
Perilipin	7	1359	1.000000000
PFK	7	1200	1.000000000
PH_8	7	272	0.388339600
PNMA	7	1012	1.000000000
PSI	7	322	0.581303800
Rap_GAP	7	568	1.000000000
Requiem_N	7	148	0.030302620
SPAN-X	7	367	0.751088500
Syja_N	7	663	1.000000000
TACC	7	407	0.886301600
TGF_beta	7	413	0.899670600
Tubulin_C	7	777	1.000000000
VWA_3	7	772	1.000000000
VWC	7	243	0.280268700
zf-C2H2_2	7	230	0.234572000
A2M_comp	6	1083	1.000000000
Activin_recp	6	323	0.786516300
adh_short_C2	6	184	0.183933800
Aida_C2	6	149	0.076179940
APG5	6	158	0.100417900
BCDHK_Adom3	6	156	0.094330070
BicD	6	719	1.000000000
Biopterin_H	6	996	1.000000000
Ca_hom_mod	6	506	1.000000000
Calx-beta	6	509	1.000000000
Chromo	6	177	0.160683600
CIMR	6	787	1.000000000
COG6	6	557	1.000000000
CRAL_TRIO	6	596	1.000000000
DNA_pol_B_exo1	6	1033	1.000000000
DP	6	144	0.063652770
DUF1744	6	401	1.000000000
DUF1908	6	829	1.000000000
DUF2392	6	101	0.004563832
DUF3384	6	422	1.000000000
DUF3694	6	382	0.967654300
DUF3740	6	287	0.632496600
DUF608	6	368	0.934632900
DuoxA	6	563	1.000000000
E3_UbLigase_R4	6	797	1.000000000
ELO	6	712	1.000000000
EVC2_like	6	425	1.000000000
F420_oxidored	6	265	0.533012600
FancD2	6	1424	1.000000000
Fasciclin	6	748	1.000000000
FMN_dh	6	684	1.000000000
Folate_carrier	6	942	1.000000000
Fucokinase	6	422	1.000000000
FYRN	6	55	0.000000015
GF_recep_IV	6	380	0.963049000
Glyco_hydro_1	6	1522	1.000000000
Glyco_hydro_38	6	1439	1.000000000
Glyco_hydro_56	6	722	1.000000000
Glyco_transf_18	6	1147	1.000000000
Glyco_transf_90	6	708	1.000000000
Glycogen_syn	6	1265	1.000000000
GOLGA2L5	6	1284	1.000000000
GPS	6	239	0.414224400
GTP_EFTU	6	1227	1.000000000
Hemopexin	6	225	0.350686600
HSP90	6	1479	1.000000000
INCA1	6	164	0.118007900
Interferon	6	810	1.000000000
IRS	6	362	0.919897700
KRTAP	6	266	0.537445400
Laminin_B	6	681	1.000000000
Latrophilin	6	989	1.000000000
Lectin_N	6	426	1.000000000
Med12-LCEWAV	6	1361	1.000000000
Mg_trans_NIPA	6	876	1.000000000
MORN	6	107	0.007933343
MutS_III	6	629	1.000000000
NIF	6	554	1.000000000
NR_Repeat	6	97	0.002888885
OB_NTP_bind	6	614	1.000000000
Ocnus	6	92	0.001479697
PA	6	403	1.000000000
PAP_central	6	698	1.000000000
PAS_9	6	422	1.000000000
Patatin	6	861	1.000000000
PDZ_assoc	6	205	0.265988100
Peptidase_C14	6	1107	1.000000000
Peptidase_S24	6	219	0.324580000
Peptidase_S9	6	848	1.000000000
Phosphodiest	6	1221	1.000000000
Phosphorylase	6	2094	0.933269700
PIP49_N	6	302	0.697742700
PMC2NT	6	92	0.001479697
Radical_SAM	6	696	1.000000000
Raftlin	6	974	1.000000000
RnaseA	6	631	1.000000000
Sad1_UNC	6	403	1.000000000
Sec1	6	2080	0.936899300
Serinc	6	640	1.000000000
SIR2	6	715	1.000000000
Smoothelin	6	110	0.010225590
SOCS_box	6	149	0.076179940
T4_deiodinase	6	696	1.000000000
T-box	6	690	1.000000000
THF_DHG_CYH_C	6	107	0.007933343
Tmemb_cc2	6	721	1.000000000
TRAM_LAG1_CLN8	6	986	1.000000000
Transferrin	6	986	1.000000000
Tweety	6	813	1.000000000
Tyrosinase	6	231	0.378624400
UPF0640	6	55	0.000000015
UvrD-helicase	6	315	0.752924100
VCX_VCY	6	135	0.044683090
Xan_ur_permease	6	967	1.000000000
zf-HC5HC2H_2	6	58	0.000000085
zf-RING_2	6	115	0.014756470
A2M_N_2	5	593	1.000000000
AAA_11	5	666	1.000000000
ACC_central	5	727	1.000000000
Acyltransferase	5	470	1.000000000
ADAM_CR	5	350	1.000000000
AhpC-TSA	5	391	1.000000000
AKNA	5	108	0.034411240
ALAD	5	326	0.988381700
Alpha_kinase	5	597	1.000000000
Arrestin_N	5	597	1.000000000
ATP-synt_ab	5	683	1.000000000
Bcl-2	5	299	0.911888200
BNR_2	5	747	1.000000000
BRO1	5	929	1.000000000
C4	5	334	1.000000000
Cadherin_pro	5	274	0.810099800
CaKB	5	304	0.926819400
Calsequestrin	5	767	1.000000000
CAP	5	401	1.000000000
CCDC74_C	5	242	0.647728000
CPSase_L_chain	5	224	0.549725200
Cu2_monoox_C	5	327	0.991031400
Cys_knot	5	404	1.000000000
dDENN	5	132	0.101621600
Death	5	250	0.689327000
DGCR6	5	174	0.282473400
Dor1	5	314	0.955604400
Drf_FH3	5	396	1.000000000
DUF1693	5	402	1.000000000
DUF3498	5	1098	1.000000000
DUF3504	5	346	1.000000000
DUF3523	5	619	1.000000000
DUF3583	5	332	1.000000000
eIF2A	5	311	0.947114800
ELMO_CED12	5	520	1.000000000
ERAP1_C	5	1298	1.000000000
FAA_hydrolase	5	702	1.000000000
FAM124	5	467	1.000000000
F-box-like	5	122	0.069745970
FERM_C	5	231	0.587036300
FGF	5	465	1.000000000
Filaggrin	5	263	0.755487800
Frag1	5	865	1.000000000
GAF	5	745	1.000000000
Gal-3-0_sulfotr	5	1202	1.000000000
Galactosyl_T	5	1010	1.000000000
GBP	5	789	1.000000000
Glyco_tranf_2_3	5	278	0.829150000
Glyco_transf_22	5	825	1.000000000
Glypican	5	1117	1.000000000
HbrB	5	216	0.506798300
HMGL-like	5	498	1.000000000
HR1	5	209	0.467231500
HRM	5	272	0.800417400
IL17_R_N	5	1092	1.000000000
Kazal_1	5	261	0.745189000
KIAA1328	5	318	0.966736100
Kunitz_BPTI	5	159	0.210787600
Lactamase_B	5	383	1.000000000
Laminin_G_3	5	616	1.000000000
Lung_7-TM_R	5	805	1.000000000
Lys	5	254	0.709385200
MAP2_projctn	5	1129	1.000000000
MBD	5	197	0.402852900
MCM_N	5	258	0.729516700
MH1	5	299	0.911888200
mTERF	5	903	1.000000000
Na_K-ATPase	5	856	1.000000000
NCKAP5	5	138	0.122536200
NO_synthase	5	744	1.000000000
NUDE_C	5	357	1.000000000
Nup84_Nup100	5	704	1.000000000
NUT_C	5	261	0.745189000
Pax2_C	5	461	1.000000000
Peptidase_C1	5	926	1.000000000
Peptidase_M17	5	622	1.000000000
Peptidase_M24	5	961	1.000000000
Peptidase_S28	5	911	1.000000000
PH_9	5	335	1.000000000
Pou	5	230	0.581303800
PTEN_C2	5	433	1.000000000
Rab_eff_C	5	770	1.000000000
RasGEF_N	5	309	0.941386600
Rhomboid	5	355	1.000000000
RNB	5	897	1.000000000
SBP_bac_3	5	1047	1.000000000
Sec15	5	618	1.000000000
Sec7	5	755	1.000000000
Septin	5	981	1.000000000
Tcp11	5	1048	1.000000000
Thyroglobulin_1	5	337	1.000000000
TIL	5	162	0.224429900
Transmemb_17	5	218	0.517751400
Treacle	5	259	0.734771000
tRNA-synt_1e	5	715	1.000000000
TSP_C	5	601	1.000000000
UAA	5	305	0.929761500
UDPGP	5	801	1.000000000
Ufd2P_core	5	1267	1.000000000
UPF0016	5	74	0.001002066
UPF0560	5	1267	1.000000000
XK-related	5	1538	1.000000000
XPG_I	5	173	0.277316400
zf-C2H2_4	5	96	0.014985200
zf-C2H2_6	5	83	0.003875886
Zip	5	935	1.000000000
A2M	4	276	1.000000000
Abhydrolase_3	4	248	0.944257700
Ald_Xan_dh_C2	4	1078	1.000000000
Alk_phosphatase	4	1312	0.967315700
ANATO	4	34	0.000000001
ANTH	4	267	1.000000000
ARHGEF5_35	4	617	1.000000000
Arm_2	4	987	1.000000000
ART	4	227	0.855825300
Asp-B-Hydro_N	4	268	1.000000000
Atrophin-1	4	1841	0.787043500
