Pfam_domain	Snp_count	Domain_length	locfdr
zf-H2C2_2	653	11830	0.005410783
Pkinase	608	57445	1.000000000
I-set	541	18048	0.465760600
Cadherin	459	19788	0.724813000
fn3	446	14201	0.408106400
7tm_1	338	45346	1.000000000
Ras	286	10869	0.612968100
7tm_4	281	22153	1.000000000
Ion_trans	253	18163	1.000000000
Spectrin	242	7604	0.391476100
Pkinase_Tyr	232	22005	1.000000000
P53	223	699	0.000000000
WD40	209	3324	0.000759659
Ank_2	189	8334	0.741934900
PI3Ka	182	782	0.000000000
Myosin_head	155	22479	1.000000000
Collagen	151	5845	0.631782100
HSP70	142	7130	0.819478200
PDZ	137	4816	0.528060800
Trypsin	127	12677	1.000000000
PH	126	5936	0.784953100
Ig_2	121	6525	0.852072600
RRM_1	115	4484	0.639119300
UCH	114	18331	1.000000000
CUB	113	5532	0.806294800
Histone	111	2388	0.039512110
MFS_1	111	17223	1.000000000
Y_phosphatase	106	6836	1.000000000
ANF_receptor	103	10505	1.000000000
LRR_8	103	3826	0.589359300
Sushi	102	3490	0.496518700
C2	99	4856	0.807307400
p450	96	21323	1.000000000
V-set	93	5949	1.000000000
VWA	93	7236	1.000000000
RhoGEF	91	5094	0.889369500
Laminin_G_2	88	5307	1.000000000
Hormone_recep	87	4916	0.906349100
Kinesin	86	9828	1.000000000
KRAB	86	2034	0.089859410
Keratin_B2_2	83	1152	0.000065534
Filament	80	11767	1.000000000
HECT	77	6690	1.000000000
BTB	74	4205	0.916484600
Sugar_tr	74	9761	1.000000000
Myosin_tail_1	73	11447	1.000000000
Neur_chan_memb	73	5661	1.000000000
Lectin_C	72	3968	0.861370100
Serpin	72	9273	1.000000000
ABC_membrane	71	8119	1.000000000
EGF_CA	70	1754	0.135659800
Sema	70	10709	1.000000000
AMP-binding	69	11261	1.000000000
RhoGAP	67	4128	1.000000000
Filamin	65	2658	0.682156900
TSP_1	64	2026	0.400827600
SNF2_N	62	7082	1.000000000
Homeobox	59	2420	0.684873700
SH2	59	2321	0.647223200
7tm_2	58	6533	1.000000000
LIM	58	1760	0.347732300
Mito_carr	56	3714	1.000000000
Neur_chan_LBD	56	6335	1.000000000
SPRY	56	3792	1.000000000
CH	54	2705	0.818253300
G-alpha	54	4914	1.000000000
Actin	53	9002	1.000000000
Guanylate_kin	53	2206	0.697771500
Helicase_C	52	2433	0.780637300
MHC_I	52	2839	0.857368700
SMC_N	52	6961	1.000000000
UDPGT	51	6352	1.000000000
MAGE	49	3645	1.000000000
Gla	48	119	0.000000000
Peptidase_C14	48	2518	0.840131300
PDEase_I	47	3121	1.000000000
PMP22_Claudin	47	2927	1.000000000
SNF	47	8384	1.000000000
COesterase	46	6588	1.000000000
E1-E2_ATPase	46	4527	1.000000000
Laminin_EGF	46	1368	0.322813400
MAGE_N	46	948	0.025618870
C1-set	45	1692	0.601964400
ABC_tran	44	4013	1.000000000
Pep_M12B_propep	44	2421	0.860687300
SCAN	44	1909	0.729660500
EF-hand_7	43	2358	0.859248800
Kelch_1	43	1569	0.570474700
Anoctamin	42	4591	1.000000000
SRCR	42	1658	0.650391800
RabGAP-TBC	41	4166	1.000000000
Vinculin	41	3582	1.000000000
Ank	39	510	0.000020201
Dynein_heavy	39	8141	1.000000000
Sulfotransfer_1	39	4311	1.000000000
TPR_11	39	1920	0.809225700
DEAD	38	4938	1.000000000
EGF	38	861	0.063746660
Furin-like	38	808	0.035092780
RasGEF	38	3410	1.000000000
Cullin	37	4069	1.000000000
Reprolysin	37	3557	1.000000000
adh_short	36	3145	1.000000000
Integrin_alpha2	36	6551	1.000000000
RGS	36	1792	0.814982800
zf-C2H2	36	628	0.003196882
Adaptin_N	35	3921	1.000000000
Aldo_ket_red	35	3421	1.000000000
An_peroxidase	35	4783	1.000000000
CNH	35	4127	1.000000000
DSPc	35	1460	0.699478100
Plectin	35	257	0.000000000
Aldedh	34	6767	1.000000000
