Pfam_domain	Snp_count	Domain_length	locfdr
IRK	1062	1479	0.000000000
Pkinase	310	11152	0.291203800
P53	252	305	0.000000000
Cadherin	109	4597	0.434179600
Pkinase_Tyr	81	5370	0.935980900
Ion_trans	79	3420	0.460073400
fn3	74	2682	0.296965000
Ras	64	3079	0.571888600
zf-H2C2_2	61	1294	0.026555250
I-set	58	2293	0.372345100
7tm_1	51	11170	1.000000000
G-alpha	50	1439	0.138654400
Ank_2	49	2403	0.592419100
VHL	48	156	0.000000000
Collagen	46	1590	0.259941200
Cation_ATPase_N	45	69	0.000000000
E1-E2_ATPase	42	1878	0.491694000
Spectrin	37	1902	0.646265300
ANF_receptor	33	5385	1.000000000
PH	32	1504	0.546643300
Myosin_head	31	13000	0.942953200
7tm_4	29	3902	1.000000000
Hormone_recep	26	1771	0.965054000
RRM_1	25	1138	0.511535900
Ig_2	24	1392	0.785650900
KRAB	22	451	0.020881920
PDZ	22	883	0.385506900
HIF-1	21	35	0.000000000
WD40	21	610	0.144151900
C2	20	1226	0.849398800
p450	20	5585	1.000000000
LRR_8	19	768	0.391629700
Sushi	19	632	0.230882600
Trypsin	19	3299	1.000000000
Sema	17	3640	1.000000000
MFS_1	16	4221	1.000000000
RhoGEF	16	1017	0.889961500
Sugar_tr	16	3739	1.000000000
CUB	15	1212	1.000000000
Filament	15	4701	0.996572900
Lig_chan	15	1654	1.000000000
Menin	15	559	0.319916800
UCH	15	4914	0.994303900
7tm_2	14	1767	1.000000000
AMP-binding	14	2705	1.000000000
EGF_CA	14	411	0.150416000
Homeobox	14	645	0.524814300
SNF	13	3171	1.000000000
VWA	13	1388	1.000000000
SNF2_N	12	1993	1.000000000
Helicase_C	11	493	0.494282600
Hist_deacetyl	11	964	1.000000000
HLH	11	200	0.007201873
Lectin_C	11	855	1.000000000
RhoGAP	11	912	1.000000000
Sulfatase	11	2143	1.000000000
CH	10	558	0.740042600
DUF1908	10	829	1.000000000
Filamin	10	455	0.511049800
Hydrolase	10	1425	1.000000000
LIM	10	403	0.389034200
PMP22_Claudin	10	1454	1.000000000
RB_A	10	266	0.098982030
RGS	10	533	0.687853000
SET	10	632	0.883636000
VWC	10	171	0.003738402
Aa_trans	9	1522	1.000000000
Actin	9	2622	1.000000000
AF-4	9	4044	0.905715900
C8	9	359	0.380131300
Cation_ATPase_C	9	393	0.468555900
DAGK_cat	9	531	0.805532800
Daxx	9	740	1.000000000
RA	9	328	0.301231500
Septin	9	554	0.854120300
