Pfam_domain	Snp_count	Domain_length	locfdr
Ras	8527	10853	0.000000000
P53	5189	5190	0.000000000
Cadherin	1383	35042	0.307538100
Pkinase	1302	70541	1.000000000
I-set	1215	30335	0.294305800
zf-H2C2_2	1108	16398	0.020958080
Ank_2	1010	15487	0.027786480
fn3	920	24683	0.358363300
7tm_1	880	65610	1.000000000
Ion_trans	651	26204	0.809583100
7tm_4	615	35305	1.000000000
G-alpha	615	4898	0.000000499
Pkinase_Tyr	559	24737	1.000000000
Spectrin	438	9915	0.216612400
Sushi	405	7415	0.086672140
Collagen	397	10647	0.358013600
Ig_2	387	12588	0.548448300
V-set	328	12117	0.690103700
WD40	304	5121	0.053815970
MH2	283	1146	0.000000000
LRR_8	280	6923	0.286534000
Myosin_head	277	26630	1.000000000
Trypsin	277	17903	1.000000000
ANF_receptor	274	12055	1.000000000
CUB	266	8456	0.525080300
C2	250	6915	0.386837900
PDZ	242	7510	0.500515100
RRM_1	227	6238	0.380494500
BTB	215	7824	0.672712600
PH	212	8509	0.803098300
p450	211	24537	1.000000000
EGF_CA	209	4019	0.111696400
Laminin_G_2	208	7809	0.708627400
VWA	198	10771	1.000000000
MFS_1	182	20555	1.000000000
TSP_1	182	4369	0.262744100
UCH	181	21280	1.000000000
MH1	177	1024	0.000000000
Y_phosphatase	174	8105	1.000000000
AMP-binding	167	15120	1.000000000
Nebulin	165	749	0.000000000
Hormone_recep	163	7106	0.986538900
Sema	159	12207	1.000000000
Filament	156	17913	1.000000000
Ank	154	876	0.000000000
Homeobox	151	4866	0.538835400
SNF2_N	150	8429	1.000000000
Kinesin	149	12403	1.000000000
KRAB	147	2382	0.041226950
7tm_2	145	9634	1.000000000
Sugar_tr	145	13057	1.000000000
Sulfotransfer_1	138	6972	1.000000000
RhoGEF	135	6822	1.000000000
E1-E2_ATPase	131	8131	1.000000000
Menin	128	559	0.000000000
Lectin_C	125	5625	1.000000000
An_peroxidase	123	5708	1.000000000
COesterase	122	7888	1.000000000
Neur_chan_LBD	121	8201	1.000000000
Neur_chan_memb	121	6530	1.000000000
SPRY	118	5846	1.000000000
Calx-beta	113	2592	0.226056200
Lig_chan	113	4137	0.679696400
Mito_carr	112	4842	0.968326700
Serpin	111	11895	1.000000000
Helicase_C	106	3261	0.491564600
Myosin_tail_1	106	10588	1.000000000
LIM	102	2341	0.226457600
RhoGAP	100	6129	1.000000000
CH	99	4404	1.000000000
Vinculin	99	4131	0.890295000
ABC_tran	98	6234	1.000000000
Dynein_heavy	98	11718	1.000000000
zf-C2H2	95	1356	0.015073930
ABC_membrane	94	8532	1.000000000
SNF	94	10355	1.000000000
SH2	93	3456	0.696910200
SRCR	93	3850	0.872648400
Aminotran_1_2	92	5220	1.000000000
DHC_N2	92	4963	1.000000000
Reprolysin	92	5342	1.000000000
AF-4	91	5259	1.000000000
Bromodomain	91	1504	0.047666800
OATP	91	7985	1.000000000
HAD	90	7190	1.000000000
Cadherin_C	89	3411	0.732083700
Actin	88	9812	1.000000000
MRVI1	88	1636	0.093855850
Cadherin_2	87	2170	0.293522800
Pep_M12B_propep	87	3566	0.850424500
MAM	85	3631	0.942113100
Plexin_cytopl	85	5089	1.000000000
Anoctamin	84	5972	1.000000000
Peptidase_M14	84	5610	1.000000000
TPR_11	83	3091	0.699369100
Glyco_transf_29	82	4057	1.000000000
MHC_I	82	1997	0.274387500
7tm_3	81	4617	1.000000000
Laminin_EGF	81	2440	0.469758000
Tetraspannin	80	5283	1.000000000
Filamin	79	3572	1.000000000
DEAD	78	6998	1.000000000
EGF	78	1537	0.124408700
Hydrolase	78	6377	1.000000000
Ldl_recept_a	78	1917	0.281723400
IRK	77	4196	1.000000000
EF-hand_7	76	3228	0.929517000
MAGE	76	4774	1.000000000
PI3_PI4_kinase	76	3546	1.000000000
WH2	76	229	0.000000000
Acetyltransf_1	75	803	0.000404535
Integrin_alpha2	75	7396	1.000000000
SH3_9	75	1087	0.017570230
Aldedh	74	7821	1.000000000
HLH	72	1720	0.258787700
KH_1	72	2062	0.420313900
PLAT	72	2080	0.428589300
ABC2_membrane_3	71	7972	1.000000000
RGM_C	71	537	0.000000094
C1-set	70	1714	0.278738700
Daxx	70	740	0.000328065
PX	69	2768	0.801920900
DPPIV_N	68	2690	0.770116000
T-box	68	3110	1.000000000
TTL	68	3808	1.000000000
