Pfam_domain	Snp_count	Domain_length	locfdr
zf-H2C2_2	5391	54475	0.294635200
P53	4452	4453	0.000000000
Pkinase	4137	102601	1.000000000
I-set	3896	52805	0.735911200
Cadherin	3861	57279	0.822528100
fn3	2986	44605	0.828306000
7tm_1	2505	80786	1.000000000
Ion_trans	2221	36225	0.880788000
Ank_2	1992	35698	0.912594700
7tm_4	1876	50796	1.000000000
Collagen	1592	27112	0.898825400
Pkinase_Tyr	1524	32254	1.000000000
Ig_2	1499	23470	0.859116400
KRAB	1298	10741	0.067847620
Spectrin	1279	21753	0.898283200
Myosin_head	1095	27338	1.000000000
WD40	1083	17418	0.874847900
Sushi	1082	14176	0.695193500
V-set	1017	21045	0.983270900
RRM_1	928	15886	0.900738800
PDZ	924	15423	0.890487700
CUB	898	15894	0.909403800
Trypsin	850	26341	1.000000000
UCH	832	25185	1.000000000
p450	825	29173	1.000000000
PH	807	18930	1.000000000
Ras	787	20901	1.000000000
C2	786	15123	0.924882200
LRR_8	779	14192	0.916792000
Filament	758	22414	1.000000000
ANF_receptor	739	14086	0.923567700
MFS_1	690	25298	1.000000000
EGF_CA	670	8888	0.711255400
VWA	667	15418	1.000000000
Laminin_G_2	642	11376	0.909698800
Y_phosphatase	611	11521	0.922044700
Hormone_recep	598	10572	0.909106700
Kinesin	570	16207	1.000000000
RhoGEF	555	13215	1.000000000
AMP-binding	554	16301	1.000000000
7tm_2	499	12998	1.000000000
Sugar_tr	496	15492	1.000000000
CH	488	9858	0.958967600
Sema	487	12622	1.000000000
ABC_tran	485	11984	1.000000000
Homeobox	477	9371	0.930479900
BTB	476	13030	1.000000000
LIM	466	6473	0.762463200
Mito_carr	461	13081	1.000000000
SPRY	459	9801	1.000000000
RhoGAP	452	9779	1.000000000
Lectin_C	442	10340	1.000000000
TSP_1	437	7571	0.903868100
DEAD	432	13069	1.000000000
Actin	423	12407	1.000000000
UDPGT	423	7506	0.910062400
Myosin_tail_1	413	11447	1.000000000
Neur_chan_LBD	411	10566	1.000000000
EGF	400	4482	0.462094000
ABC_membrane	398	11276	1.000000000
Serpin	394	15046	1.000000000
E1-E2_ATPase	392	10377	1.000000000
SNF	380	11221	1.000000000
Laminin_EGF	376	6790	0.914551900
EF-hand_7	375	7646	0.968376100
Reprolysin	374	7523	0.954639400
SRCR	374	5639	0.835649200
Dynein_heavy	370	12342	1.000000000
Keratin_B2_2	364	3366	0.170776400
Neur_chan_memb	357	9930	1.000000000
Histone	356	5286	0.823264500
PDEase_I	348	5038	0.801906400
RabGAP-TBC	344	9149	1.000000000
Nebulin	343	2191	0.002443758
SH2	340	6501	0.924006700
Sulfotransfer_1	340	9402	1.000000000
Integrin_alpha2	333	8227	1.000000000
SNF2_N	325	9899	1.000000000
TPR_11	324	6631	0.972167600
Helicase_C	322	7767	1.000000000
zf-C2H2	317	3091	0.241494600
Filamin	311	6121	0.932362300
Ank	305	3079	0.293213300
Anoctamin	297	6656	1.000000000
COesterase	295	8672	1.000000000
HAD	291	7361	1.000000000
Vinculin	290	4645	0.873052500
HECT	285	9302	1.000000000
CCDC144C	280	3596	0.669224500
KH_1	278	4716	0.897216900
Peptidase_M14	278	8152	1.000000000
ABC2_membrane_3	277	8452	1.000000000
An_peroxidase	277	5241	0.922527500
SET	277	5801	0.995234100
Adaptin_N	276	7049	1.000000000
HCO3_cotransp	276	5106	0.919339100
Na_H_Exchanger	270	5603	0.986107200
Septin	267	4214	0.864033500
Hydrolase	265	6908	1.000000000
DHC_N1	263	4964	0.922183600
DHC_N2	262	6258	1.000000000
Kelch_1	258	5706	1.000000000
SEA	255	3858	0.837804300
Cpn60_TCP1	254	8198	1.000000000
Lig_chan	254	4681	0.918791100
Ig_3	252	4247	0.894498800
Aldedh	248	9430	1.000000000
G-alpha	247	5598	1.000000000
RasGEF	247	5782	1.000000000
adh_short	245	8647	1.000000000
TIG	241	4786	0.941563100
Arf	239	5317	1.000000000
MAM	236	5069	1.000000000
HSP70	235	10504	1.000000000
MT	233	4666	0.950111400
Guanylate_cyc	230	5349	1.000000000
Guanylate_kin	228	4491	0.933182000
Glyco_hydro_31	227	4694	0.982553000
DSPc	225	5081	1.000000000
OATP	223	7634	1.000000000
Aldo_ket_red	220	5205	1.000000000
HNF-1B_C	220	414	0.000000000
FH2	216	5622	1.000000000
Ldl_recept_a	216	4581	1.000000000
SAM_1	216	4002	0.919553000
AA_permease	215	4487	0.991774800
MIP	215	3466	0.875845900
Bromodomain	214	3716	0.904461200
Cadherin_2	214	3676	0.901639600
Fork_head	209	4607	1.000000000
RGS	209	4621	1.000000000
Aa_trans	208	6592	1.000000000
HLH	208	3836	0.918893200
Kringle	207	2750	0.713131000
AF-4	206	5310	1.000000000
Tetraspannin	206	8255	1.000000000
7tm_3	205	5283	1.000000000
Pep_M12B_propep	203	5279	1.000000000
MIR	201	1910	0.206478700
VWD	201	5161	1.000000000
cNMP_binding	200	3406	0.898821800
Ion_trans_2	200	3160	0.864703000
MAGE	200	5635	1.000000000
PMP22_Claudin	199	6664	1.000000000
C2-set_2	197	3624	0.918533400
UQ_con	197	5795	1.000000000
FERM_M	196	4973	1.000000000
zf-C4	195	2703	0.760214400
Aminotran_1_2	194	6304	1.000000000
Exo_endo_phos	194	7709	1.000000000
