Pfam_domain	Snp_count	Domain_length	locfdr
P53	13408	13409	0.000000000
Pkinase_Tyr	10463	33450	0.000008251
Ras	9502	22026	0.000000000
Cadherin	9192	62990	0.143734800
I-set	8396	58576	0.161853100
7tm_4	7103	51821	0.213772300
fn3	6986	50542	0.203654100
Pkinase	6783	106569	1.000000000
zf-H2C2_2	6380	67566	0.824639700
7tm_1	5887	81304	1.000000000
Ion_trans	3912	37211	0.658743700
Ank_2	3376	39872	0.941121500
Collagen	3010	30988	0.785814800
Ig_2	2818	25537	0.572263500
Spectrin	2620	23499	0.553313700
Sushi	2471	17402	0.171281000
CUB	2084	16119	0.295415000
Myosin_head	1861	27338	1.000000000
ANF_receptor	1812	15090	0.418463300
WD40	1744	20849	0.951603900
V-set	1710	22977	1.000000000
Laminin_G_2	1702	11764	0.152444300
Y_phosphatase	1544	11610	0.254646400
Trypsin	1514	27428	1.000000000
LRR_8	1457	18071	0.975166100
C2	1405	16274	0.924195500
PDZ	1402	17385	0.975029000
p450	1369	29904	1.000000000
PH	1297	20188	1.000000000
VWA	1158	15385	0.997990400
MFS_1	1155	26507	1.000000000
EGF_CA	1117	11563	0.793414900
7tm_2	1057	12828	0.961599200
Serpin	1033	15085	1.000000000
Filament	1016	22122	1.000000000
Homeobox	991	11124	0.894062300
Hormone_recep	980	10641	0.856613500
Neur_chan_LBD	978	11012	0.897508200
RRM_1	973	15784	1.000000000
TSP_1	958	8910	0.619331300
KRAB	935	10556	0.900487900
UCH	932	25848	1.000000000
AMP-binding	921	17211	1.000000000
Neur_chan_memb	895	9941	0.882243600
Lectin_C	885	11458	0.992748400
Sema	862	12622	1.000000000
RhoGEF	859	13529	1.000000000
SPRY	823	11434	1.000000000
Laminin_EGF	818	8193	0.743968800
Vinculin	811	4347	0.017729190
Myosin_tail_1	801	12306	1.000000000
Kelch_1	786	7354	0.629828500
Sugar_tr	781	16531	1.000000000
CH	770	10120	0.995803900
Kinesin	770	15693	1.000000000
UDPGT	768	7892	0.783262700
ABC_membrane	763	12599	1.000000000
COesterase	754	8206	0.859238600
ABC_tran	748	12440	1.000000000
BTB	736	13517	1.000000000
Reprolysin	686	7752	0.901519000
EGF	683	5806	0.455081700
RhoGAP	681	10062	1.000000000
SNF	660	11583	1.000000000
Actin	647	12259	1.000000000
MAGE	640	6414	0.744911600
E1-E2_ATPase	624	10138	1.000000000
Ig_3	620	4945	0.344444600
Anoctamin	619	5972	0.683377300
SRCR	610	7170	0.936976700
Sulfotransfer_1	604	8847	1.000000000
Mito_carr	599	13406	1.000000000
Glyco_hydro_31	591	4401	0.240879200
SNF2_N	586	10569	1.000000000
SH2	581	8059	1.000000000
Lig_chan	577	4681	0.372846200
OATP	576	8135	1.000000000
7tm_3	575	5283	0.597418000
Ldl_recept_a	560	6021	0.845195900
EF-hand_7	559	8970	1.000000000
PDEase_I	559	5152	0.603074400
LIM	558	7659	1.000000000
Pep_M12B_propep	557	5349	0.675347300
Dynein_heavy	543	11718	1.000000000
Cadherin_C	541	3629	0.123770100
An_peroxidase	532	6020	0.903045100
Integrin_alpha2	514	8227	1.000000000
AF-4	501	5310	0.825735900
TIG	501	5117	0.774678700
Cadherin_2	493	3927	0.342398300
HAD	487	7600	1.000000000
FAM47	483	2259	0.003942842
RB_A	474	653	0.000000000
Peptidase_M14	469	8661	1.000000000
PI3Ka	456	1711	0.000184313
DEAD	453	12904	1.000000000
Histone	451	5211	0.922032900
Ephrin_lbd	446	2397	0.018299210
ABC2_membrane_3	442	8543	1.000000000
Filamin	431	6761	1.000000000
OLF	431	3394	0.324165500
Hydrolase	428	6908	1.000000000
NACHT	423	4347	0.783337300
HLH	420	4608	0.868375800
PMP22_Claudin	413	6911	1.000000000
Helicase_C	412	7639	1.000000000
SEA	412	4261	0.792134900
Guanylate_cyc	409	5560	1.000000000
zf-C2H2	408	3969	0.697570900
RGS	403	4754	0.940101500
DSPc	402	5214	0.993114700
TAS2R	398	6583	1.000000000
Plectin	396	1535	0.000310039
HECT	393	9302	1.000000000
Keratin_B2_2	393	3531	0.556522400
AA_permease	389	4841	0.977255600
Ank	384	2889	0.255399300
Guanylate_kin	384	4355	0.905535200
PI3_PI4_kinase	381	4379	0.917401100
IRK	378	5130	1.000000000
RasGEF	377	5711	1.000000000
Bromodomain	376	4224	0.894959500
Laminin_N	374	3565	0.662417400
HCO3_cotransp	373	5106	1.000000000
Nebulin	368	2710	0.225002500
Plexin_cytopl	367	5133	1.000000000
F5_F8_type_C	360	4215	0.933587100
C1-set	358	3914	0.864401500
RabGAP-TBC	353	8662	1.000000000
MAM	352	5020	1.000000000
Zona_pellucida	352	4208	0.951592700
cNMP_binding	348	4100	0.939004900
SSF	345	5098	1.000000000
Glyco_transf_29	344	6208	1.000000000
BACK	343	5507	1.000000000
DPPIV_N	343	3059	0.542856700
SET	343	5854	1.000000000
Furin-like	342	1287	0.000193288
TPR_11	337	6429	1.000000000
C2-set_2	336	3951	0.937333300
DUF3497	330	2966	0.557166300
SAM_1	329	4386	0.998678300
DHC_N2	327	6258	1.000000000
Aa_trans	324	6739	1.000000000
adh_short	324	9162	1.000000000
Na_H_Exchanger	324	6635	1.000000000
Patched	323	4327	0.999655400
Ion_trans_2	320	3339	0.804344600
SCAN	320	5536	1.000000000
Glyco_hydro_1	316	4720	1.000000000
SH3_1	316	3753	0.945951900
G-alpha	315	5786	1.000000000
Metallophos	315	6270	1.000000000
CD20	314	3796	0.959158100
Gla	309	441	0.000000000
ADAM_spacer1	307	2673	0.498920900
Lipase	307	3687	0.955007300
zf-C4	307	3069	0.740945500
Aldedh	306	8486	1.000000000
Cpn60_TCP1	306	8828	1.000000000
Glycos_transf_2	305	4894	1.000000000
HSP70	305	11130	1.000000000
AA_permease_2	301	5984	1.000000000
Fork_head	301	4472	1.000000000
AAA	300	6890	1.000000000
SH3_9	300	4006	0.999010300
TGFb_propeptide	299	6156	1.000000000
Fibrinogen_C	298	5068	1.000000000
PX	296	5595	1.000000000
DHC_N1	295	4964	1.000000000
Carn_acyltransf	293	4172	1.000000000
KH_1	292	5080	1.000000000
Carb_anhydrase	289	5243	1.000000000
MT	287	4666	1.000000000
Zip	284	4603	1.000000000
Adaptin_N	283	7574	1.000000000
Exo_endo_phos	283	7709	1.000000000
Ldl_recept_b	283	3700	0.994741300
FH2	281	5622	1.000000000
Peptidase_M13_N	281	2753	0.708909600
wnt	281	7168	1.000000000
Aldo_ket_red	277	4958	1.000000000
T-box	276	3133	0.906455100
FERM_M	274	5683	1.000000000
SMC_N	273	8071	1.000000000
Calx-beta	271	3980	1.000000000
Integrin_beta	270	3816	1.000000000
PID	270	4806	1.000000000
Sulfatase	269	6354	1.000000000
Protocadherin	267	1109	0.000855102
MACPF	266	2122	0.344769800
MHC_I	266	3703	1.000000000
BTB_2	265	4443	1.000000000
Cullin	265	6143	1.000000000
TTL	264	4895	1.000000000
Peptidase_M1	263	5245	1.000000000
RCC1	263	3814	1.000000000
FGF	262	3090	0.939908100
Band_3_cyto	260	2610	0.747520800
Na_Ca_ex	259	2781	0.843390300
VWC	258	2548	0.721676300
VWD	258	5446	1.000000000
Kringle	257	2714	0.820773200
Peptidase_C2	256	4990	1.000000000
Peptidase_C14	255	4584	1.000000000
MIR	253	1910	0.260262900
Tetraspannin	252	8078	1.000000000
Na_trans_assoc	250	2430	0.696259400
Ricin_B_lectin	248	3076	0.975183300
Aminotran_1_2	247	6304	1.000000000
PHD	245	3240	0.997056600
Pyridoxal_deC	245	2677	0.863735100
Septin	245	4757	1.000000000
ASC	244	4826	1.000000000
Thioredoxin	244	4837	1.000000000
AAA_7	243	4195	1.000000000
Tubulin	243	5318	1.000000000
ADAM_CR	241	2240	0.618189200
Laminin_G_3	241	2475	0.782409400
PMG	241	1792	0.238776300
Myotub-related	239	5352	1.000000000
BAR	238	3939	1.000000000
C1_1	236	3046	0.992114500
CNH	236	4844	1.000000000
PP2C	236	5496	1.000000000
C1q	235	3913	1.000000000
PI-PLC-X	235	2637	0.893689000
Hist_deacetyl	234	3862	1.000000000
WTX	234	1208	0.011946210
AAA_8	233	3713	1.000000000
Pro-rich	233	1629	0.163978400
Xlink	232	2274	0.709654300
Arf	227	5842	1.000000000
EF-hand_3	226	559	0.000000005
Recep_L_domain	225	1436	0.085844860
Glypican	224	3347	1.000000000
RRM_6	224	3418	1.000000000
MAGE_N	223	1895	0.454437500
MYT1	222	935	0.001022579
Amidohydro_1	219	2647	0.959032500
MIP	219	3893	1.000000000
TIR	217	3230	1.000000000
UPF0560	215	2396	0.885969400
UQ_con	215	5900	1.000000000
Cyclin_N	214	4108	1.000000000
RasGAP	210	2728	0.993434000
Laminin_G_1	209	3108	1.000000000
RYDR_ITPR	207	2011	0.695367400
FERM_C	205	2217	0.852044000
Peptidase_S9	204	1934	0.652931900
ig	203	2221	0.865222100
IQ	203	1183	0.039977880
PLAT	203	4096	1.000000000
TB	200	1495	0.246260000
Cystatin	197	2060	0.807298700
Lipocalin	197	4022	1.000000000
AAA_9	195	3370	1.000000000
Amino_oxidase	194	4140	1.000000000
Hemopexin	194	2717	1.000000000
Peptidase_S8	194	3980	1.000000000
Hexokinase_1	193	1849	0.671197500
Arm	192	2710	1.000000000
Sulfate_transp	192	3059	1.000000000
NMDAR2_C	191	1361	0.185202300
DEP	190	1854	0.702492900
Peptidase_M10	189	3837	1.000000000
TGF_beta	189	2943	1.000000000
RA	188	3122	1.000000000
zf-DHHC	188	4352	1.000000000
COLFI	186	2293	0.971398500
CRAL_TRIO_2	186	2196	0.940830100
DUF3451	184	1332	0.204385300
LRR_4	183	2292	0.981214000
PNP_UDP_1	183	989	0.019477560
Cation_ATPase_C	182	3486	1.000000000
PI-PLC-Y	180	1768	0.712986900
CCDC144C	179	3480	1.000000000
SH3_2	179	2664	1.000000000
GAF	178	2253	0.987709100
MFS_2	177	3191	1.000000000
Oxysterol_BP	177	4676	1.000000000
PYRIN	177	1738	0.712497700
AIG1	176	1795	0.772424400
Disintegrin	176	1413	0.354844300
CARD	174	2476	1.000000000
zf-B_box	173	2365	1.000000000
Phosphodiest	172	3175	1.000000000
AAA_5	170	3110	1.000000000
AAA_6	170	3082	1.000000000
Neuregulin	169	1583	0.631824500
AAA_11	168	2915	1.000000000
Sulfotransfer_2	168	3408	1.000000000
CAP	167	2099	0.983392100
DOCK-C2	167	2114	0.987776100
KCNQ_channel	167	1278	0.279361100
GKAP	166	1738	0.809006300
MARVEL	166	3796	1.000000000
Voltage_CLC	166	4264	1.000000000
7TM_GPCR_Srsx	165	2189	0.997699300
Crystall	165	3414	1.000000000
Fasciclin	165	2439	1.000000000
GDA1_CD39	165	3760	1.000000000
Pentaxin	165	2133	0.992438700
PSI	165	2024	0.968290800
EphA2_TM	164	942	0.034859430
Ferric_reduct	164	2427	1.000000000
Glyco_hydro_15	164	2849	1.000000000
LCE	164	1579	0.679823700
LBP_BPI_CETP	163	2357	1.000000000
TUDOR	163	3761	1.000000000
